Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login,397,1,1,6,0.62,0.000%,1.32084,13.12,0.63,10171.0
Login Action,397,7,6,13,0.91,0.000%,1.31888,13.46,2.44,10448.1
Homepage [0],397,2,1,6,0.57,0.000%,1.31893,12.42,1.40,9641.2
Browse (Green tea),396,4,3,10,0.90,0.000%,1.31906,136.28,1.42,105797.3
Add to cart (Green tea),396,8,6,16,1.26,0.000%,1.31838,36.82,3.31,28599.1
View cart (Green tea),396,6,5,13,1.00,0.000%,1.31841,35.62,1.59,27662.9
Browse (Herbal tea),395,4,3,10,0.84,0.000%,1.32307,196.59,1.60,152156.3
Add to cart (Herbal tea),395,8,6,21,1.35,0.000%,1.32332,37.85,3.64,29289.1
View cart (Herbal tea),395,6,5,25,1.38,0.000%,1.32331,36.49,1.75,28233.8
Browse (White tea),395,4,3,9,0.82,0.000%,1.32293,146.31,1.75,113253.5
Add to cart (White tea),395,8,7,17,1.13,0.000%,1.32276,38.72,3.95,29977.1
View cart (White tea),395,7,5,12,1.04,0.000%,1.32278,37.21,1.90,28802.3
"Browse (Black tea, 1) [0]",395,4,3,7,0.75,0.000%,1.32312,127.38,1.90,98584.9
"Browse (Black tea, 2)",395,4,3,10,0.81,0.000%,1.32298,133.06,1.93,102986.4
"Browse (Black tea, 3)",394,4,3,8,0.78,0.000%,1.32007,134.86,1.92,104609.5
"Browse (Black tea, 1) [1]",392,4,3,10,0.83,0.000%,1.31517,126.61,1.92,98579.8
Add to cart (Black tea),392,9,7,14,1.10,0.000%,1.31462,39.36,4.22,30661.1
View cart (Black tea),392,7,5,12,1.01,0.000%,1.31462,37.71,2.04,29372.6
Checkout,388,7,4,416,25.79,0.000%,1.31078,18.06,4.40,14109.2
Order,388,2,1,5,0.55,0.000%,1.31262,16.52,2.01,12887.0
Add order details,388,12,9,131,6.32,0.000%,1.31171,13.41,3.86,10465.3
Homepage [1],388,1,1,6,0.60,0.000%,1.31227,12.38,1.40,9657.0
Logout,387,3,2,7,0.60,0.000%,1.31715,13.92,3.03,10823.0
Homepage [2],387,1,1,4,0.51,0.000%,1.31718,12.13,1.37,9428.6
TOTAL,9435,5,1,416,6.11,0.000%,31.25808,1410.93,54.64,46221.3
