Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login,8127,1,1,10,0.59,0.000%,26.46378,262.85,12.56,10171.0
Login Action,8117,7,6,16,0.74,0.000%,26.44663,269.84,48.86,10448.0
Homepage [0],8117,1,1,11,0.56,0.000%,26.44741,249.05,27.99,9642.7
Browse (Green tea),8107,4,3,27,1.04,0.012%,26.43644,2731.09,28.52,105787.3
Add to cart (Green tea),8102,8,5,49,3.12,0.000%,26.44644,738.61,66.47,28599.0
View cart (Green tea),8102,6,4,48,2.95,0.000%,26.44679,714.45,31.89,27662.9
Browse (Herbal tea),8076,4,3,25,1.02,0.000%,26.41745,3925.35,31.85,152155.2
Add to cart (Herbal tea),8062,8,5,50,3.28,0.012%,26.37580,754.33,72.59,29285.9
View cart (Herbal tea),8061,7,4,49,3.00,0.012%,26.37356,727.11,34.86,28231.4
Browse (White tea),8047,4,3,26,1.09,0.000%,26.39841,2919.66,34.90,113254.2
Add to cart (White tea),8038,9,6,51,3.27,0.000%,26.38031,772.27,78.69,29977.0
View cart (White tea),8038,7,5,49,3.40,0.000%,26.38074,742.09,37.89,28805.2
"Browse (Black tea, 1) [0]",8030,4,3,36,1.14,0.000%,26.38219,2539.99,37.89,98587.5
"Browse (Black tea, 2)",8027,4,3,27,0.98,0.000%,26.38542,2653.74,38.45,102990.0
"Browse (Black tea, 3)",8016,4,3,47,1.22,0.000%,26.35559,2692.52,38.41,104613.0
"Browse (Black tea, 1) [1]",8008,4,3,44,1.30,0.000%,26.33344,2535.19,38.37,98583.1
Add to cart (Black tea),8005,9,6,51,3.28,0.000%,26.34376,788.79,84.53,30661.0
View cart (Black tea),8005,7,5,50,3.32,0.000%,26.34428,755.72,40.82,29374.8
Checkout,7951,5,4,15,0.82,0.000%,26.24941,361.75,88.16,14112.0
Order,7951,2,1,10,0.54,0.000%,26.24976,330.42,40.13,12889.7
Add order details,7941,11,4,35,1.76,0.013%,26.27008,268.45,77.24,10464.3
Homepage [1],7940,1,1,9,0.52,0.000%,26.27069,247.73,27.96,9656.1
Logout,7929,2,0,12,0.63,0.013%,26.29005,277.84,60.56,10822.0
Homepage [2],7928,1,1,12,0.54,0.013%,26.28717,242.04,27.42,9428.4
TOTAL,192725,5,0,51,3.45,0.003%,627.50914,28291.13,1097.04,46166.8
