Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,15997,110,1,833,74.91,0.050%,52.48859,467.21,7.33,9114.8
List Products,15989,125,2,936,77.73,0.063%,52.46423,6054.82,8.65,118178.3
Look at Product,15979,144,6,848,80.39,0.113%,52.43108,5858.98,8.02,114428.3
Login,15961,163,4,929,76.55,0.038%,52.37339,518.91,21.37,10145.6
Add Product to Cart,15955,165,4,820,79.76,0.069%,52.35439,540.88,20.89,10579.1
Add n Products to Cart,238234,165,0,1066,78.05,0.051%,781.74611,8076.77,312.00,10579.7
Logout,15819,159,3,990,78.74,0.038%,51.92158,519.61,19.67,10247.7
Checkout 1,15813,158,3,762,75.89,0.025%,51.90410,525.26,31.57,10362.8
Checkout 5,15809,158,3,831,76.61,0.038%,51.89046,525.15,37.69,10363.3
Checkout 15,15803,157,3,761,76.30,0.032%,51.87179,524.93,51.87,10362.6
TOTAL,381359,159,0,1066,78.99,0.051%,1251.28456,23610.41,518.99,19321.8
