Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,38289,48,1,591,48.88,0.016%,125.72733,1119.39,17.55,9117.0
List Products,38283,82,3,755,66.69,0.021%,125.70762,14521.03,20.74,118286.7
Look at Product,38275,137,0,612,73.21,0.039%,125.68424,14631.49,19.23,119208.6
Login,38260,59,2,521,52.03,0.026%,125.63705,1245.05,51.27,10147.7
Add Product to Cart,38250,64,3,462,53.90,0.008%,125.60793,1298.17,50.14,10583.1
Add n Products to Cart,572924,65,1,791,54.45,0.021%,1881.20873,19439.65,750.88,10581.6
Logout,38124,54,2,555,51.78,0.029%,125.22953,1253.29,47.44,10248.1
Checkout 1,38113,54,2,602,51.20,0.018%,125.19339,1267.00,76.16,10363.2
Checkout 5,38106,54,2,506,51.15,0.021%,125.17245,1266.94,90.94,10364.5
Checkout 15,38098,55,2,596,51.25,0.024%,125.14782,1266.50,125.13,10362.9
TOTAL,916722,66,0,791,57.42,0.022%,3009.80041,57299.56,1249.23,19494.6
