Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login,374,3,2,19,1.148,0.116%,1.198,12.213,0.595,10272.778
Login Action,377,12,9,23,1.572,0.250%,1.231,12.128,2.318,10617.099
Homepage [0],383,3,2,8,0.75,0.117%,1.152,11.952,1.284,9742.737
Browse (Green tea),370,9,8,16,1.172,0.379%,1.216,131.015,1.276,106295.842
Add to cart (Green tea),389,17,14,30,1.711,0.057%,1.182,37.03,3.087,31177.22
View cart (Green tea),386,13,10,21,1.386,0.168%,1.216,35.605,1.418,30172.08
Browse (Herbal tea),382,10,8,20,1.281,0.483%,1.183,175.389,1.436,152833.514
Add to cart (Herbal tea),382,18,15,34,2.146,0.449%,1.18,37.526,3.465,31870.281
View cart (Herbal tea),384,14,11,21,1.57,0.492%,1.163,38.365,1.596,30745.713
Browse (White tea),375,10,7,22,1.584,0.448%,1.167,138.982,1.586,113777.591
Add to cart (White tea),381,18,15,32,1.959,0.377%,1.195,37.494,3.617,32561.535
View cart (White tea),386,14,11,21,1.253,0.363%,1.213,37.392,1.71,31320.251
"Browse (Black tea, 1) [0]",374,10,8,15,1.184,0.244%,1.254,116.836,1.676,99055.961
"Browse (Black tea, 2)",374,10,7,22,1.255,0.026%,1.219,122.621,1.711,103473.977
"Browse (Black tea, 3)",385,10,7,15,1.152,0.128%,1.226,124.381,1.739,105104.68
"Browse (Black tea, 1) [1]",383,9,7,15,1.056,0.445%,1.201,117.813,1.834,99053.35
Add to cart (Black tea),376,19,15,33,1.936,0.258%,1.202,38.32,3.969,33247.766
View cart (Black tea),371,15,13,29,1.726,0.254%,1.165,38.298,1.847,31888.863
Checkout,370,9,7,20,1.436,0.003%,1.193,17.465,3.949,14297.456
Order,377,3,1,10,0.879,0.631%,1.209,15.803,1.757,12976.421
Add order details,365,28,23,44,2.725,0.063%,1.205,12.603,3.661,10636.183
Homepage [1],376,3,2,13,1.052,0.471%,1.183,11.867,1.3,9756.297
Logout,374,6,4,11,1.067,0.462%,1.242,12.628,2.828,10993.863
Homepage [2],372,3,2,12,0.997,0.180%,1.235,10.936,1.27,9528.49
TOTAL,8851,12,1,45,6.124,0.096%,28.694,1323.93,51.745,47240.978
