Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login,1939,2,2,16,0.776,0.000%,6.554,64.049,3.062,10301.248
Login Action,1936,9,8,23,1.119,0.000%,6.547,66.134,11.951,10646.52
Homepage [0],1936,3,2,11,0.625,0.000%,6.547,60.694,6.828,9770.75
Browse (Green tea),1934,7,6,19,1.008,0.000%,6.552,662.612,6.966,106592.004
Add to cart (Green tea),1932,14,11,28,1.492,0.000%,6.554,194.389,16.232,31263.519
View cart (Green tea),1932,11,9,22,1.26,0.000%,6.554,188.133,7.789,30256.006
Browse (Herbal tea),1922,8,6,22,1.21,0.000%,6.532,949.735,7.759,153255.171
Add to cart (Herbal tea),1918,15,12,28,1.533,0.000%,6.522,197.754,17.698,31958.494
View cart (Herbal tea),1918,12,10,23,1.341,0.000%,6.522,190.779,8.502,30831.929
Browse (White tea),1911,8,6,22,1.16,0.000%,6.509,704.596,8.482,114094.415
Add to cart (White tea),1908,15,13,28,1.553,0.000%,6.517,201.885,19.165,32651.556
View cart (White tea),1908,13,10,26,1.321,0.000%,6.517,194.193,9.226,31407.349
"Browse (Black tea, 1) [0]",1908,8,6,21,1.139,0.000%,6.52,614.46,9.236,99331.626
"Browse (Black tea, 2)",1908,8,6,19,1.029,0.000%,6.516,641.433,9.364,103762.648
"Browse (Black tea, 3)",1905,8,6,22,1.018,0.000%,6.507,650.64,9.345,105396.848
"Browse (Black tea, 1) [1]",1904,8,6,24,1.26,0.000%,6.511,613.535,9.354,99328
Add to cart (Black tea),1904,16,13,31,1.482,0.000%,6.508,205.859,20.592,33339.884
View cart (Black tea),1904,13,11,27,1.392,0.000%,6.508,197.459,9.939,31979.042
Checkout,1895,8,6,20,1.069,0.000%,6.52,88.7,21.593,14338.753
Order,1895,3,2,11,0.615,0.000%,6.52,80.673,9.83,13040.861
Add order details,1894,24,20,41,2.36,0.000%,6.534,66.115,18.937,10665.657
Homepage [1],1894,3,2,12,0.706,0.000%,6.534,60.645,6.857,9783.139
Logout,1890,4,3,18,0.887,0.000%,6.527,68.269,14.824,11024.224
Homepage [2],1890,3,2,12,0.696,0.000%,6.527,59.17,6.719,9555.308
TOTAL,45886,9,2,41,5.375,0.000%,155.074,6961.837,267.266,47318.861
