Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,14556,3,2,21,0.815,0.000%,47.917,435.385,7.087,9031.644
List Products,14556,9,6,30,1.324,0.000%,47.918,5605.701,8.301,116282.292
Look at Product,14556,16,11,42,1.762,0.000%,47.917,5042.916,7.728,104610.323
Login,14556,10,7,22,1.171,0.000%,47.917,476.627,20.185,9887.141
Add Product to Cart,14556,8,5,21,1.466,0.000%,47.917,508.075,19.928,10539.543
Add n Products to Cart,218268,9,5,34,1.538,0.005%,718.535,7618.534,298.853,10539.149
Checkout 1,14546,5,3,12,0.947,0.000%,47.916,497.742,29.976,10325.423
Checkout 5,14546,5,3,13,0.876,0.000%,47.916,497.732,35.661,10325.324
Checkout 15,14546,4,3,13,0.876,0.000%,47.915,497.732,48.789,10325.423
TOTAL,334686,8,2,42,2.78,0.003%,1101.518,21174.585,476.33,19107.604
