Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,19779,65,2,161,18.527,0.433%,64.619,589.345,9.537,9025.502
List Products,19866,127,5,341,33.446,0.040%,64.487,7469.241,11.281,116147.167
Look at Product,20284,236,13,494,81.042,0.549%,66.264,6625.227,9.946,104479.121
Login,20372,104,9,227,27.221,0.240%,64.788,641.773,27.675,10105.465
Add Product to Cart,20274,134,4,251,30.694,0.134%,66.015,663.49,26.462,10532.884
Add n Products to Cart,300990,133,1,322,31.29,0.160%,926.662,9922.397,399.827,10533.278
Checkout 1,19690,104,4,197,25.998,0.488%,61.502,681.781,40.686,10319.765
Checkout 5,20092,104,4,239,25.198,0.068%,66.531,666.202,46.536,10319.175
Checkout 15,19510,102,5,181,26.411,0.282%,61.781,631.693,66.349,10318.781
TOTAL,462760,125,1,474,43.253,0.378%,1453.413,27480.311,646.804,19137.854
