Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login,2132,86,54,69,89,1583,51,2537,0.000%,9.08061,90.19,4.31
Login Action,2131,133,118,143,169,237,106,2752,0.000%,9.07461,92.59,16.77
Homepage [0],2131,60,55,66,78,101,51,2535,0.047%,9.07720,85.44,9.60
Browse (Green tea),2126,185,162,194,226,321,153,2783,0.000%,9.06598,936.69,9.78
Add to cart (Green tea),2124,77,67,83,90,123,34,2535,0.094%,9.06360,227.78,22.76
View cart (Green tea),2122,67,63,78,91,127,54,2524,0.000%,9.06997,219.83,10.94
Browse (Herbal tea),2117,188,162,190,216,351,16,2739,0.047%,9.04133,1342.81,10.89
Add to cart (Herbal tea),2114,73,67,82,88,114,56,2525,0.000%,9.03824,233.48,24.87
View cart (Herbal tea),2114,65,62,78,84,105,30,257,0.095%,9.04010,224.02,11.94
Browse (White tea),2104,171,161,185,208,257,1,2745,0.190%,9.02199,995.96,11.90
Add to cart (White tea),2097,68,67,83,87,107,56,154,0.000%,9.00816,238.75,26.86
View cart (White tea),2097,66,63,78,85,109,45,264,0.048%,9.00882,228.35,12.93
"Browse (Black tea, 1) [0]",2096,166,161,181,201,242,110,415,0.048%,9.01983,867.98,12.94
"Browse (Black tea, 2)",2094,167,161,183,203,253,16,2694,0.096%,9.02816,907.14,13.14
"Browse (Black tea, 3)",2090,166,161,184,208,249,56,328,0.191%,9.13697,931.66,13.28
"Browse (Black tea, 1) [1]",2083,166,161,183,202,239,126,308,0.048%,9.12364,877.90,13.28
Add to cart (Black tea),2077,70,68,84,91,112,44,227,0.048%,9.10434,247.27,29.20
View cart (Black tea),2076,66,63,79,87,108,54,216,0.000%,9.10834,236.04,14.11
Checkout,2058,65,62,75,86,113,52,269,0.049%,9.05479,124.73,30.40
Order,2057,58,55,68,79,103,18,244,0.049%,9.05354,113.90,13.83
Add order details,2051,1287,1271,1498,1574,1752,123,2298,0.585%,9.05755,92.17,26.47
Homepage [1],2039,59,55,73,87,116,51,249,0.000%,9.05289,85.36,9.63
Logout,2033,60,57,71,84,113,18,263,0.049%,9.04186,95.54,20.82
Homepage [2],2032,58,54,70,84,103,51,226,0.000%,9.05336,83.36,9.44
TOTAL,50195,150,72,172,234,1366,1,2783,0.070%,213.52124,9444.47,372.68
