Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login,2132,86,51,2537,230.39,0.000%,9.08061,90.19,4.31,10171.0
Login Action,2131,133,106,2752,156.82,0.000%,9.07461,92.59,16.77,10447.9
Homepage [0],2131,60,51,2535,76.20,0.047%,9.07720,85.44,9.60,9638.3
Browse (Green tea),2126,185,153,2783,198.31,0.000%,9.06598,936.69,9.78,105798.6
Add to cart (Green tea),2124,77,34,2535,135.58,0.094%,9.06360,227.78,22.76,25734.5
View cart (Green tea),2122,67,54,2524,55.19,0.000%,9.06997,219.83,10.94,24819.1
Browse (Herbal tea),2117,188,16,2739,211.38,0.047%,9.04133,1342.81,10.89,152084.1
Add to cart (Herbal tea),2114,73,56,2525,99.81,0.000%,9.03824,233.48,24.87,26451.9
View cart (Herbal tea),2114,65,30,257,11.94,0.095%,9.04010,224.02,11.94,25375.9
Browse (White tea),2104,171,1,2745,106.56,0.190%,9.02199,995.96,11.90,113042.3
Add to cart (White tea),2097,68,56,154,10.96,0.000%,9.00816,238.75,26.86,27139.9
View cart (White tea),2097,66,45,264,11.79,0.048%,9.00882,228.35,12.93,25956.0
"Browse (Black tea, 1) [0]",2096,166,110,415,18.57,0.048%,9.01983,867.98,12.94,98539.6
"Browse (Black tea, 2)",2094,167,16,2694,58.25,0.096%,9.02816,907.14,13.14,102891.0
"Browse (Black tea, 3)",2090,166,56,328,19.56,0.191%,9.13697,931.66,13.28,104413.6
"Browse (Black tea, 1) [1]",2083,166,126,308,16.82,0.048%,9.12364,877.90,13.28,98531.8
Add to cart (Black tea),2077,70,44,227,12.37,0.048%,9.10434,247.27,29.20,27811.7
View cart (Black tea),2076,66,54,216,11.55,0.000%,9.10834,236.04,14.11,26536.6
Checkout,2058,65,52,269,14.92,0.049%,9.05479,124.73,30.40,14105.1
Order,2057,58,18,244,11.82,0.049%,9.05354,113.90,13.83,12882.2
Add order details,2051,1287,123,2298,161.13,0.585%,9.05755,92.17,26.47,10420.2
Homepage [1],2039,59,51,249,14.58,0.000%,9.05289,85.36,9.63,9655.9
Logout,2033,60,18,263,13.57,0.049%,9.04186,95.54,20.82,10819.9
Homepage [2],2032,58,51,226,12.01,0.000%,9.05336,83.36,9.44,9429.2
TOTAL,50195,150,1,2783,259.93,0.070%,213.52124,9444.47,372.68,45293.5
