"Time","docker-db-1","docker-persistence-1","docker-image-1","docker-recommender-1","docker-registry-1","docker-auth-1","docker-webui-1"
2025-04-23 22:49:36,7.08%,91.7%,34.0%,8.16%,0.284%,56.2%,154%
2025-04-23 22:49:37,7.04%,91.7%,34.0%,8.15%,0.283%,56.1%,154%
2025-04-23 22:49:38,7.07%,91.7%,34.0%,8.15%,0.283%,56.1%,154%
2025-04-23 22:49:39,7.06%,91.6%,34.0%,8.14%,0.283%,56.0%,154%
2025-04-23 22:49:40,7.06%,91.6%,34.0%,8.14%,0.282%,55.8%,154%
2025-04-23 22:49:41,7.06%,91.5%,34.0%,8.13%,0.282%,56.1%,154%
2025-04-23 22:49:42,7.06%,91.5%,34.0%,8.13%,0.282%,56.1%,153%
2025-04-23 22:49:43,7.06%,91.5%,33.9%,8.12%,0.282%,55.9%,153%
2025-04-23 22:49:44,7.06%,91.6%,34.0%,8.13%,0.283%,56.0%,154%
2025-04-23 22:49:45,7.06%,91.6%,34.0%,8.13%,0.283%,56.1%,154%
2025-04-23 22:49:46,7.06%,91.7%,34.0%,8.13%,0.283%,56.1%,154%
2025-04-23 22:49:47,7.08%,91.6%,34.1%,8.14%,0.283%,56.2%,154%
2025-04-23 22:49:48,7.08%,91.9%,34.1%,8.15%,0.284%,56.2%,154%
2025-04-23 22:49:49,7.08%,91.9%,34.1%,8.14%,0.284%,56.2%,154%
2025-04-23 22:49:50,7.08%,91.9%,34.1%,8.15%,0.285%,56.2%,154%
2025-04-23 22:49:51,7.06%,92.0%,34.1%,8.14%,0.285%,56.3%,154%
2025-04-23 22:49:52,7.10%,92.1%,34.1%,8.15%,0.285%,56.3%,154%
2025-04-23 22:49:53,7.07%,91.8%,34.1%,8.15%,0.285%,56.3%,154%
2025-04-23 22:49:54,7.10%,92.1%,34.1%,8.16%,0.285%,56.3%,154%
2025-04-23 22:49:55,7.09%,92.0%,34.1%,8.15%,0.285%,56.3%,154%
2025-04-23 22:49:56,7.10%,92.0%,34.1%,8.14%,0.285%,56.3%,154%
2025-04-23 22:49:57,7.09%,92.0%,34.1%,8.14%,0.284%,56.2%,154%
2025-04-23 22:49:58,7.09%,92.0%,33.9%,8.08%,0.284%,56.2%,154%
2025-04-23 22:49:59,7.11%,92.0%,34.1%,8.07%,0.284%,56.2%,154%
2025-04-23 22:50:00,7.11%,92.0%,34.1%,8.08%,0.284%,56.3%,154%
2025-04-23 22:50:01,7.10%,91.9%,34.0%,8.07%,0.284%,56.2%,154%
2025-04-23 22:50:02,7.10%,91.9%,34.0%,8.07%,0.283%,56.2%,154%
2025-04-23 22:50:03,7.10%,91.9%,34.1%,8.07%,0.283%,56.2%,153%
2025-04-23 22:50:04,7.11%,92.1%,34.1%,8.08%,0.283%,56.3%,154%
2025-04-23 22:50:05,7.10%,92.1%,34.1%,8.08%,0.283%,56.2%,154%
2025-04-23 22:50:06,7.10%,92.1%,34.1%,8.08%,0.284%,56.2%,154%
2025-04-23 22:50:07,7.10%,92.1%,34.1%,8.14%,0.284%,56.2%,154%
