"Time","docker-db-1","docker-persistence-1","docker-image-1","docker-recommender-1","docker-registry-1","docker-auth-1","docker-webui-1"
2025-04-23 22:49:36,316 MiB,1.40 GiB,1.30 GiB,1.05 GiB,513 MiB,1.48 GiB,2.55 GiB
2025-04-23 22:49:38,316 MiB,1.40 GiB,1.30 GiB,1.05 GiB,513 MiB,1.48 GiB,2.55 GiB
2025-04-23 22:49:40,316 MiB,1.40 GiB,1.30 GiB,1.05 GiB,513 MiB,1.48 GiB,2.55 GiB
2025-04-23 22:49:42,316 MiB,1.40 GiB,1.30 GiB,1.05 GiB,513 MiB,1.48 GiB,2.55 GiB
2025-04-23 22:49:44,316 MiB,1.40 GiB,1.30 GiB,1.05 GiB,513 MiB,1.48 GiB,2.55 GiB
2025-04-23 22:49:46,317 MiB,1.40 GiB,1.30 GiB,1.05 GiB,513 MiB,1.48 GiB,2.55 GiB
2025-04-23 22:49:48,316 MiB,1.40 GiB,1.30 GiB,1.05 GiB,513 MiB,1.48 GiB,2.55 GiB
2025-04-23 22:49:50,316 MiB,1.40 GiB,1.30 GiB,1.05 GiB,513 MiB,1.48 GiB,2.55 GiB
2025-04-23 22:49:52,316 MiB,1.40 GiB,1.30 GiB,1.05 GiB,513 MiB,1.48 GiB,2.55 GiB
2025-04-23 22:49:54,316 MiB,1.40 GiB,1.30 GiB,1.05 GiB,513 MiB,1.48 GiB,2.55 GiB
2025-04-23 22:49:56,316 MiB,1.40 GiB,1.30 GiB,1.05 GiB,513 MiB,1.48 GiB,2.55 GiB
2025-04-23 22:49:58,316 MiB,1.40 GiB,1.30 GiB,1.05 GiB,513 MiB,1.48 GiB,2.55 GiB
2025-04-23 22:50:00,316 MiB,1.40 GiB,1.30 GiB,1.05 GiB,513 MiB,1.48 GiB,2.55 GiB
2025-04-23 22:50:02,316 MiB,1.40 GiB,1.30 GiB,1.05 GiB,513 MiB,1.48 GiB,2.55 GiB
2025-04-23 22:50:04,316 MiB,1.40 GiB,1.30 GiB,1.05 GiB,513 MiB,1.48 GiB,2.55 GiB
2025-04-23 22:50:06,316 MiB,1.40 GiB,1.30 GiB,1.05 GiB,513 MiB,1.48 GiB,2.55 GiB
2025-04-23 22:50:08,316 MiB,1.40 GiB,1.30 GiB,1.05 GiB,513 MiB,1.48 GiB,2.55 GiB
2025-04-23 22:50:10,316 MiB,1.40 GiB,1.30 GiB,1.05 GiB,513 MiB,1.48 GiB,2.55 GiB
2025-04-23 22:50:12,316 MiB,1.40 GiB,1.30 GiB,1.05 GiB,513 MiB,1.48 GiB,2.55 GiB
2025-04-23 22:50:14,317 MiB,1.40 GiB,1.30 GiB,1.05 GiB,513 MiB,1.48 GiB,2.55 GiB
2025-04-23 22:50:16,317 MiB,1.40 GiB,1.30 GiB,1.05 GiB,513 MiB,1.48 GiB,2.55 GiB
2025-04-23 22:50:18,316 MiB,1.40 GiB,1.30 GiB,1.05 GiB,513 MiB,1.48 GiB,2.55 GiB
2025-04-23 22:50:20,316 MiB,1.40 GiB,1.30 GiB,1.05 GiB,513 MiB,1.48 GiB,2.55 GiB
2025-04-23 22:50:22,316 MiB,1.40 GiB,1.30 GiB,1.05 GiB,513 MiB,1.48 GiB,2.55 GiB
2025-04-23 22:50:24,317 MiB,1.40 GiB,1.30 GiB,1.05 GiB,513 MiB,1.48 GiB,2.55 GiB
2025-04-23 22:50:26,316 MiB,1.40 GiB,1.30 GiB,1.05 GiB,513 MiB,1.48 GiB,2.55 GiB
2025-04-23 22:50:28,316 MiB,1.40 GiB,1.30 GiB,1.05 GiB,513 MiB,1.48 GiB,2.55 GiB
