"Time","docker-db-1","docker-persistence-1","docker-image-1","docker-recommender-1","docker-registry-1","docker-auth-1","docker-webui-1"
2025-04-23 22:49:36,116 kB/s,1.06 MB/s,334 kB/s,66.3 kB/s,1.61 kB/s,530 kB/s,11.0 MB/s
2025-04-23 22:49:40,108 kB/s,1.05 MB/s,348 kB/s,62.6 kB/s,2.38 kB/s,456 kB/s,12.7 MB/s
2025-04-23 22:49:44,104 kB/s,1.02 MB/s,325 kB/s,71.3 kB/s,1.96 kB/s,513 kB/s,12.8 MB/s
2025-04-23 22:49:48,94.3 kB/s,1.01 MB/s,309 kB/s,85.9 kB/s,1.64 kB/s,444 kB/s,11.8 MB/s
2025-04-23 22:49:52,105 kB/s,967 kB/s,307 kB/s,60.6 kB/s,2.27 kB/s,476 kB/s,10.0 MB/s
2025-04-23 22:49:56,102 kB/s,1.09 MB/s,337 kB/s,71.0 kB/s,2.07 kB/s,492 kB/s,11.8 MB/s
2025-04-23 22:50:00,106 kB/s,1.08 MB/s,358 kB/s,65.5 kB/s,2.44 kB/s,540 kB/s,11.8 MB/s
2025-04-23 22:50:04,116 kB/s,1.19 MB/s,358 kB/s,71.5 kB/s,1.57 kB/s,515 kB/s,12.3 MB/s
2025-04-23 22:50:08,123 kB/s,1.05 MB/s,328 kB/s,58.8 kB/s,2.13 kB/s,490 kB/s,11.7 MB/s
2025-04-23 22:50:12,95.7 kB/s,1.05 MB/s,330 kB/s,63.4 kB/s,1.71 kB/s,479 kB/s,11.9 MB/s
2025-04-23 22:50:16,105 kB/s,1.08 MB/s,335 kB/s,74.0 kB/s,1.72 kB/s,481 kB/s,12.4 MB/s
2025-04-23 22:50:20,105 kB/s,1.02 MB/s,307 kB/s,64.6 kB/s,2.59 kB/s,472 kB/s,11.0 MB/s
2025-04-23 22:50:24,111 kB/s,1.23 MB/s,370 kB/s,72.1 kB/s,2.20 kB/s,523 kB/s,13.5 MB/s
2025-04-23 22:50:28,104 kB/s,1.01 MB/s,311 kB/s,63.8 kB/s,2.18 kB/s,480 kB/s,10.4 MB/s
2025-04-23 22:50:32,95.2 kB/s,1.03 MB/s,325 kB/s,67.7 kB/s,1.40 kB/s,475 kB/s,12.6 MB/s
2025-04-23 22:50:36,94.6 kB/s,975 kB/s,315 kB/s,61.5 kB/s,1.83 kB/s,490 kB/s,11.1 MB/s
2025-04-23 22:50:40,108 kB/s,1.17 MB/s,354 kB/s,73.4 kB/s,1.92 kB/s,467 kB/s,13.2 MB/s
2025-04-23 22:50:44,103 kB/s,884 kB/s,274 kB/s,57.0 kB/s,2.14 kB/s,508 kB/s,10.1 MB/s
2025-04-23 22:50:48,102 kB/s,1.19 MB/s,348 kB/s,80.9 kB/s,1.87 kB/s,469 kB/s,13.0 MB/s
2025-04-23 22:50:52,96.9 kB/s,984 kB/s,306 kB/s,61.2 kB/s,2.20 kB/s,451 kB/s,9.40 MB/s
2025-04-23 22:50:56,102 kB/s,1.14 MB/s,340 kB/s,68.9 kB/s,2.37 kB/s,491 kB/s,12.8 MB/s
2025-04-23 22:51:00,93.0 kB/s,997 kB/s,316 kB/s,66.7 kB/s,2.02 kB/s,523 kB/s,11.9 MB/s
2025-04-23 22:51:04,107 kB/s,1.05 MB/s,360 kB/s,64.6 kB/s,1.95 kB/s,518 kB/s,11.9 MB/s
2025-04-23 22:51:08,105 kB/s,1.04 MB/s,320 kB/s,72.0 kB/s,2.48 kB/s,488 kB/s,12.4 MB/s
2025-04-23 22:51:12,101 kB/s,1.08 MB/s,320 kB/s,62.4 kB/s,1.72 kB/s,550 kB/s,11.6 MB/s
2025-04-23 22:51:16,106 kB/s,1.21 MB/s,343 kB/s,79.1 kB/s,1.92 kB/s,482 kB/s,13.4 MB/s
2025-04-23 22:51:20,115 kB/s,1.11 MB/s,372 kB/s,67.7 kB/s,1.61 kB/s,566 kB/s,12.2 MB/s
2025-04-23 22:51:24,109 kB/s,1.15 MB/s,354 kB/s,73.5 kB/s,1.57 kB/s,497 kB/s,13.3 MB/s
2025-04-23 22:51:28,106 kB/s,1.07 MB/s,329 kB/s,67.4 kB/s,2.38 kB/s,517 kB/s,11.6 MB/s
2025-04-23 22:51:32,115 kB/s,1.20 MB/s,369 kB/s,79.6 kB/s,1.86 kB/s,532 kB/s,12.3 MB/s
2025-04-23 22:51:36,102 kB/s,985 kB/s,297 kB/s,67.6 kB/s,1.46 kB/s,481 kB/s,10.8 MB/s
2025-04-23 22:51:40,102 kB/s,1.11 MB/s,356 kB/s,76.3 kB/s,2.03 kB/s,478 kB/s,11.2 MB/s
2025-04-23 22:51:44,115 kB/s,1.09 MB/s,327 kB/s,64.9 kB/s,2.16 kB/s,461 kB/s,11.5 MB/s
2025-04-23 22:51:48,99.4 kB/s,1.23 MB/s,378 kB/s,75.0 kB/s,2.33 kB/s,481 kB/s,13.1 MB/s
2025-04-23 22:51:52,113 kB/s,1.12 MB/s,328 kB/s,64.2 kB/s,1.90 kB/s,503 kB/s,11.4 MB/s
2025-04-23 22:51:56,101 kB/s,1.07 MB/s,336 kB/s,72.1 kB/s,2.12 kB/s,464 kB/s,12.2 MB/s
2025-04-23 22:52:00,108 kB/s,1.02 MB/s,327 kB/s,64.9 kB/s,1.25 kB/s,534 kB/s,10.6 MB/s
