"Time","docker-db-1","docker-persistence-1","docker-image-1","docker-recommender-1","docker-registry-1","docker-auth-1","docker-webui-1"
2025-04-23 22:49:36,372 kB/s,1.06 MB/s,10.1 MB/s,32.6 kB/s,1.19 kB/s,410 kB/s,13.6 MB/s
2025-04-23 22:49:40,361 kB/s,1.04 MB/s,10.5 MB/s,30.9 kB/s,1.60 kB/s,345 kB/s,15.7 MB/s
2025-04-23 22:49:44,330 kB/s,1.02 MB/s,9.75 MB/s,35.4 kB/s,1.27 kB/s,396 kB/s,15.7 MB/s
2025-04-23 22:49:48,337 kB/s,1.02 MB/s,9.43 MB/s,42.4 kB/s,1.00 kB/s,342 kB/s,14.2 MB/s
2025-04-23 22:49:52,330 kB/s,961 kB/s,9.16 MB/s,29.7 kB/s,1.47 kB/s,362 kB/s,12.6 MB/s
2025-04-23 22:49:56,348 kB/s,1.09 MB/s,9.78 MB/s,34.7 kB/s,1.37 kB/s,371 kB/s,14.4 MB/s
2025-04-23 22:50:00,337 kB/s,1.08 MB/s,10.6 MB/s,31.4 kB/s,1.53 kB/s,416 kB/s,14.7 MB/s
2025-04-23 22:50:04,380 kB/s,1.19 MB/s,10.8 MB/s,35.6 kB/s,861 B/s,394 kB/s,15.1 MB/s
2025-04-23 22:50:08,358 kB/s,1.04 MB/s,9.56 MB/s,28.3 kB/s,1.53 kB/s,382 kB/s,14.5 MB/s
2025-04-23 22:50:12,339 kB/s,1.05 MB/s,10.2 MB/s,32.5 kB/s,1.23 kB/s,362 kB/s,14.7 MB/s
2025-04-23 22:50:16,370 kB/s,1.08 MB/s,9.79 MB/s,36.1 kB/s,1.27 kB/s,369 kB/s,15.3 MB/s
2025-04-23 22:50:20,345 kB/s,1.01 MB/s,9.13 MB/s,31.8 kB/s,1.78 kB/s,359 kB/s,13.7 MB/s
2025-04-23 22:50:24,377 kB/s,1.24 MB/s,11.2 MB/s,35.0 kB/s,1.39 kB/s,403 kB/s,16.6 MB/s
2025-04-23 22:50:28,312 kB/s,997 kB/s,9.03 MB/s,32.0 kB/s,1.37 kB/s,375 kB/s,12.7 MB/s
2025-04-23 22:50:32,336 kB/s,1.03 MB/s,9.88 MB/s,33.5 kB/s,782 B/s,364 kB/s,15.4 MB/s
2025-04-23 22:50:36,306 kB/s,972 kB/s,9.15 MB/s,30.9 kB/s,1.15 kB/s,375 kB/s,13.7 MB/s
2025-04-23 22:50:40,384 kB/s,1.18 MB/s,11.3 MB/s,36.4 kB/s,1.20 kB/s,359 kB/s,16.2 MB/s
2025-04-23 22:50:44,290 kB/s,876 kB/s,7.80 MB/s,28.6 kB/s,1.57 kB/s,397 kB/s,12.4 MB/s
2025-04-23 22:50:48,375 kB/s,1.19 MB/s,11.0 MB/s,40.6 kB/s,1.38 kB/s,357 kB/s,15.8 MB/s
2025-04-23 22:50:52,295 kB/s,972 kB/s,8.86 MB/s,30.0 kB/s,1.48 kB/s,344 kB/s,11.6 MB/s
2025-04-23 22:50:56,346 kB/s,1.14 MB/s,10.3 MB/s,34.2 kB/s,1.74 kB/s,374 kB/s,15.6 MB/s
2025-04-23 22:51:00,327 kB/s,999 kB/s,9.76 MB/s,33.3 kB/s,1.24 kB/s,399 kB/s,14.6 MB/s
2025-04-23 22:51:04,356 kB/s,1.04 MB/s,10.7 MB/s,32.7 kB/s,1.44 kB/s,394 kB/s,14.6 MB/s
2025-04-23 22:51:08,348 kB/s,1.05 MB/s,9.07 MB/s,36.0 kB/s,1.63 kB/s,379 kB/s,15.1 MB/s
2025-04-23 22:51:12,327 kB/s,1.08 MB/s,9.56 MB/s,31.1 kB/s,1.09 kB/s,426 kB/s,14.4 MB/s
2025-04-23 22:51:16,372 kB/s,1.21 MB/s,10.6 MB/s,39.0 kB/s,1.29 kB/s,372 kB/s,16.5 MB/s
2025-04-23 22:51:20,348 kB/s,1.10 MB/s,10.9 MB/s,34.0 kB/s,987 B/s,434 kB/s,14.8 MB/s
2025-04-23 22:51:24,390 kB/s,1.16 MB/s,11.2 MB/s,35.4 kB/s,872 B/s,378 kB/s,16.2 MB/s
2025-04-23 22:51:28,341 kB/s,1.06 MB/s,9.70 MB/s,33.1 kB/s,1.68 kB/s,397 kB/s,14.2 MB/s
2025-04-23 22:51:32,398 kB/s,1.20 MB/s,11.5 MB/s,40.1 kB/s,1.14 kB/s,408 kB/s,15.2 MB/s
2025-04-23 22:51:36,328 kB/s,980 kB/s,8.75 MB/s,33.7 kB/s,810 B/s,372 kB/s,13.0 MB/s
2025-04-23 22:51:40,366 kB/s,1.11 MB/s,11.4 MB/s,38.5 kB/s,1.49 kB/s,359 kB/s,13.9 MB/s
2025-04-23 22:51:44,375 kB/s,1.09 MB/s,10.1 MB/s,31.8 kB/s,1.37 kB/s,358 kB/s,14.3 MB/s
2025-04-23 22:51:48,337 kB/s,1.23 MB/s,11.6 MB/s,37.5 kB/s,1.58 kB/s,376 kB/s,16.0 MB/s
2025-04-23 22:51:52,351 kB/s,1.12 MB/s,10.1 MB/s,31.5 kB/s,1.30 kB/s,386 kB/s,14.1 MB/s
2025-04-23 22:51:56,355 kB/s,1.07 MB/s,10.3 MB/s,36.3 kB/s,1.46 kB/s,355 kB/s,15.0 MB/s
2025-04-23 22:52:00,330 kB/s,1.02 MB/s,9.23 MB/s,32.5 kB/s,844 B/s,419 kB/s,13.1 MB/s
2025-04-23 22:52:04,365 kB/s,1.15 MB/s,10.4 MB/s,36.7 kB/s,654 B/s,379 kB/s,14.7 MB/s
2025-04-23 22:52:08,329 kB/s,1.02 MB/s,8.46 MB/s,29.7 kB/s,1.11 kB/s,436 kB/s,12.4 MB/s
2025-04-23 22:52:12,394 kB/s,1.15 MB/s,10.8 MB/s,34.3 kB/s,1.20 kB/s,340 kB/s,17.3 MB/s
2025-04-23 22:52:16,278 kB/s,978 kB/s,7.92 MB/s,28.5 kB/s,1.63 kB/s,359 kB/s,12.4 MB/s
2025-04-23 22:52:20,373 kB/s,1.11 MB/s,10.8 MB/s,38.3 kB/s,1.62 kB/s,370 kB/s,14.7 MB/s
2025-04-23 22:52:24,318 kB/s,1.06 MB/s,9.40 MB/s,36.3 kB/s,1.19 kB/s,387 kB/s,13.7 MB/s
2025-04-23 22:52:28,371 kB/s,1.12 MB/s,9.74 MB/s,34.6 kB/s,1.40 kB/s,373 kB/s,13.9 MB/s
2025-04-23 22:52:32,0 B/s,235 B/s,247 B/s,735 B/s,1.29 kB/s,256 B/s,381 B/s
2025-04-23 22:52:36,0 B/s,0 B/s,465 B/s,522 B/s,957 B/s,0 B/s,1.05 kB/s
2025-04-23 22:52:40,0 B/s,363 B/s,499 B/s,218 B/s,1.34 kB/s,220 B/s,345 B/s
2025-04-23 22:52:44,0 B/s,0 B/s,323 B/s,302 B/s,909 B/s,457 B/s,1.00 kB/s
2025-04-23 22:52:48,0 B/s,146 B/s,350 B/s,407 B/s,841 B/s,418 B/s,233 B/s
2025-04-23 22:52:52,0 B/s,387 B/s,302 B/s,257 B/s,1.53 kB/s,278 B/s,281 B/s
2025-04-23 22:52:56,0 B/s,339 B/s,449 B/s,451 B/s,1.58 kB/s,444 B/s,1.13 kB/s
2025-04-23 22:53:00,0 B/s,0 B/s,317 B/s,217 B/s,1.62 kB/s,196 B/s,388 B/s
2025-04-23 22:53:04,0 B/s,0 B/s,203 B/s,317 B/s,1.27 kB/s,206 B/s,851 B/s
2025-04-23 22:53:08,0 B/s,220 B/s,445 B/s,392 B/s,1.57 kB/s,204 B/s,366 B/s
2025-04-23 22:53:12,0 B/s,236 B/s,242 B/s,545 B/s,1.29 kB/s,187 B/s,346 B/s
2025-04-23 22:53:16,0 B/s,0 B/s,300 B/s,688 B/s,1.45 kB/s,428 B/s,883 B/s
2025-04-23 22:53:20,0 B/s,220 B/s,213 B/s,625 B/s,1.93 kB/s,446 B/s,283 B/s
2025-04-23 22:53:24,0 B/s,410 B/s,329 B/s,684 B/s,1.07 kB/s,211 B/s,0 B/s
2025-04-23 22:53:28,0 B/s,0 B/s,191 B/s,611 B/s,1.70 kB/s,377 B/s,314 B/s
2025-04-23 22:53:32,0 B/s,243 B/s,300 B/s,605 B/s,959 B/s,453 B/s,270 B/s
2025-04-23 22:53:36,0 B/s,0 B/s,579 B/s,290 B/s,1.48 kB/s,348 B/s,369 B/s
2025-04-23 22:53:40,74.6 kB/s,48.8 kB/s,475 kB/s,778 B/s,1.77 kB/s,69.5 kB/s,2.00 MB/s
2025-04-23 22:53:44,168 kB/s,90.6 kB/s,685 kB/s,276 B/s,995 B/s,1.34 kB/s,5.00 MB/s
2025-04-23 22:53:48,370 kB/s,1.24 MB/s,12.3 MB/s,41.3 kB/s,798 B/s,276 kB/s,17.4 MB/s
2025-04-23 22:53:52,129 kB/s,467 kB/s,3.70 MB/s,8.26 kB/s,776 B/s,289 kB/s,3.51 MB/s
2025-04-23 22:53:56,217 kB/s,566 kB/s,6.85 MB/s,12.7 kB/s,1.61 kB/s,270 kB/s,11.0 MB/s
2025-04-23 22:54:00,333 kB/s,1.21 MB/s,11.3 MB/s,36.6 kB/s,1.22 kB/s,277 kB/s,15.9 MB/s
2025-04-23 22:54:04,236 kB/s,485 kB/s,3.53 MB/s,17.9 kB/s,1.60 kB/s,305 kB/s,7.95 MB/s
2025-04-23 22:54:08,251 kB/s,804 kB/s,6.51 MB/s,28.3 kB/s,1.14 kB/s,269 kB/s,8.07 MB/s
2025-04-23 22:54:12,319 kB/s,1.16 MB/s,10.5 MB/s,30.3 kB/s,1.54 kB/s,289 kB/s,13.2 MB/s
2025-04-23 22:54:16,214 kB/s,632 kB/s,5.96 MB/s,16.0 kB/s,1.12 kB/s,299 kB/s,7.56 MB/s
2025-04-23 22:54:20,294 kB/s,761 kB/s,8.35 MB/s,29.0 kB/s,1.34 kB/s,277 kB/s,13.3 MB/s
2025-04-23 22:54:24,271 kB/s,916 kB/s,7.47 MB/s,23.7 kB/s,778 B/s,295 kB/s,13.1 MB/s
2025-04-23 22:54:28,201 kB/s,634 kB/s,5.05 MB/s,18.4 kB/s,1.09 kB/s,287 kB/s,7.91 MB/s
2025-04-23 22:54:32,312 kB/s,1.07 MB/s,9.81 MB/s,32.7 kB/s,1.61 kB/s,299 kB/s,12.4 MB/s
2025-04-23 22:54:36,267 kB/s,974 kB/s,8.27 MB/s,24.9 kB/s,1.59 kB/s,318 kB/s,11.6 MB/s
2025-04-23 22:54:40,267 kB/s,712 kB/s,7.01 MB/s,22.2 kB/s,1.46 kB/s,307 kB/s,10.3 MB/s
2025-04-23 22:54:44,271 kB/s,915 kB/s,8.01 MB/s,27.7 kB/s,901 B/s,260 kB/s,11.7 MB/s
2025-04-23 22:54:48,253 kB/s,803 kB/s,7.07 MB/s,23.3 kB/s,1.85 kB/s,292 kB/s,10.6 MB/s
2025-04-23 22:54:52,284 kB/s,837 kB/s,8.06 MB/s,16.8 kB/s,1.22 kB/s,313 kB/s,12.0 MB/s
2025-04-23 22:54:56,319 kB/s,988 kB/s,9.38 MB/s,29.9 kB/s,1.65 kB/s,306 kB/s,12.2 MB/s
2025-04-23 22:55:00,253 kB/s,784 kB/s,6.82 MB/s,23.4 kB/s,1.54 kB/s,295 kB/s,10.0 MB/s
2025-04-23 22:55:04,257 kB/s,817 kB/s,7.59 MB/s,25.5 kB/s,1.34 kB/s,271 kB/s,10.3 MB/s
2025-04-23 22:55:08,263 kB/s,858 kB/s,7.58 MB/s,23.2 kB/s,1.65 kB/s,299 kB/s,12.2 MB/s
2025-04-23 22:55:12,242 kB/s,764 kB/s,6.82 MB/s,23.2 kB/s,1.42 kB/s,292 kB/s,9.90 MB/s
2025-04-23 22:55:16,269 kB/s,821 kB/s,7.54 MB/s,26.1 kB/s,1.70 kB/s,269 kB/s,10.8 MB/s
2025-04-23 22:55:20,298 kB/s,883 kB/s,8.11 MB/s,28.8 kB/s,1.19 kB/s,277 kB/s,12.3 MB/s
2025-04-23 22:55:24,273 kB/s,794 kB/s,6.52 MB/s,23.3 kB/s,723 B/s,282 kB/s,9.94 MB/s
2025-04-23 22:55:28,270 kB/s,881 kB/s,8.65 MB/s,27.5 kB/s,1.24 kB/s,278 kB/s,11.5 MB/s
