Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login,7950.258,3,2,23,1.02,0.000%,27.268,265.73,12.168,10324.643
Login Action,7944.304,10,7,43,2.039,0.013%,27.268,274.789,48.672,10669.815
Homepage [0],7943.311,3,2,20,1.02,0.000%,27.268,251.638,28.392,9793.137
Browse (Green tea),7936.363,9,6,46,2.039,0.000%,27.268,2748.894,28.392,106825.434
Add to cart (Green tea),7929.415,16,12,60,4.079,0.013%,27.268,806.248,66.924,31329.284
View cart (Green tea),7928.423,13,3,49,3.06,0.026%,27.268,780.078,32.448,30317.184
Browse (Herbal tea),7908.572,9,1,64,2.039,0.013%,27.268,3942.665,31.434,153571.425
Add to cart (Herbal tea),7902.616,17,12,71,4.079,0.026%,27.268,821.346,73.008,32022.684
View cart (Herbal tea),7900.632,14,10,63,3.06,0.000%,27.268,792.156,34.476,30900.617
Browse (White tea),7882.766,9,6,34,2.039,0.000%,27.268,2934.1,34.476,114343.892
Add to cart (White tea),7871.848,18,13,68,4.079,0.000%,27.268,839.464,79.092,32724.23
View cart (White tea),7871.848,15,10,58,4.079,0.000%,27.268,808.262,37.518,31476.924
"Browse (Black tea, 1) [0]",7863.908,9,6,45,2.039,0.013%,27.268,2553.623,37.518,99537.092
"Browse (Black tea, 2)",7856.96,9,6,44,2.039,0.000%,26.258,2666.357,38.532,103990.739
"Browse (Black tea, 3)",7845.049,9,6,33,2.039,0.000%,26.258,2706.619,38.532,105629.038
"Browse (Black tea, 1) [1]",7839.094,9,6,36,2.039,0.000%,26.258,2548.59,38.532,99547.273
Add to cart (Black tea),7834.132,18,13,67,4.079,0.039%,26.258,854.563,84.162,33402.357
View cart (Black tea),7830.161,16,11,60,4.079,0.026%,26.258,819.334,40.56,32042.03
Checkout,7774.579,9,5,41,2.039,0.013%,26.258,367.392,88.218,14369.989
Order,7773.586,3,2,19,1.02,0.000%,26.258,334.176,40.56,13070.753
Add order details,7766.638,28,10,86,5.099,0.013%,26.258,272.776,77.064,10689.162
Homepage [1],7765.646,3,2,21,1.02,0.000%,26.258,250.632,28.392,9805.356
Logout,7748.772,5,3,25,1.02,0.026%,26.258,281.834,60.84,11047.571
Homepage [2],7745.795,3,2,20,1.02,0.000%,26.258,244.593,27.378,9577.277
TOTAL,188614.673,11,1,86,7.139,0.009%,637.262,28972.6,1100.189,47468.92
