Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login,2008,2,2,18,1.022,0.000%,7.259,67.742,3.149,10995.098
Login Action,2005,9,8,25,1.022,0.000%,7.259,69.765,13.644,11363.725
Homepage [0],2005,3,2,12,1.022,0.000%,7.259,63.698,7.347,10429.105
Browse (Green tea),2003,7,6,21,1.022,0.000%,7.259,699.66,7.347,113776.14
Add to cart (Green tea),2001,14,13,30,2.042,0.000%,7.259,205.247,17.843,33370.63
View cart (Green tea),2001,11,10,24,1.022,0.000%,7.259,199.18,8.397,32295.035
Browse (Herbal tea),1991,8,6,24,1.022,0.000%,7.259,1002.981,8.397,163584.592
Add to cart (Herbal tea),1987,15,14,30,2.042,0.000%,7.259,209.292,19.943,34112.06
View cart (Herbal tea),1987,12,11,25,1.022,0.000%,7.259,201.202,9.446,32910.108
Browse (White tea),1980,8,6,24,1.022,0.000%,7.259,744.146,9.446,121784.631
Add to cart (White tea),1977,15,15,30,2.042,0.000%,7.259,213.335,20.992,34852.447
View cart (White tea),1977,13,11,28,1.022,0.000%,7.259,205.247,10.496,33524.138
"Browse (Black tea, 1) [0]",1977,8,6,23,1.022,0.000%,7.259,649.106,10.496,106026.626
"Browse (Black tea, 2)",1977,8,6,21,1.022,0.000%,7.259,677.416,10.496,110756.116
"Browse (Black tea, 3)",1974,8,6,24,1.022,0.000%,7.259,687.527,10.496,112500.044
"Browse (Black tea, 1) [1]",1972,8,6,26,1.022,0.000%,7.259,648.095,10.496,106022.448
Add to cart (Black tea),1972,16,15,33,2.042,0.000%,7.259,217.38,23.091,35586.567
View cart (Black tea),1972,13,13,29,1.022,0.000%,7.259,208.28,10.496,34133.991
Checkout,1962,8,6,22,1.022,0.000%,7.259,94.029,24.141,15304.793
Order,1962,3,2,12,1.022,0.000%,7.259,84.93,10.496,13920.094
Add order details,1961,25,22,43,2.042,0.000%,7.259,69.765,20.992,11384.611
Homepage [1],1961,3,2,13,1.022,0.000%,7.259,63.698,7.347,10442.681
Logout,1957,4,3,20,1.022,0.000%,7.259,71.785,16.793,11766.812
Homepage [2],1957,3,2,13,1.022,0.000%,7.259,62.687,7.347,10199.367
TOTAL,47518,9,2,43,5.107,0.000%,161.781,7354.515,295.989,50508.115
