Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,15025,3,2,22,0.991,0.000%,48.423,438.623,7.025,9578.39
List Products,15025,9,6,31,0.991,0.000%,48.423,5653.256,9.033,123327.316
Look at Product,15025,16,11,43,1.982,0.000%,48.423,5086.036,8.029,110948.345
Login,15025,10,7,23,0.991,0.000%,48.423,480.492,21.076,10486.06
Add Product to Cart,15025,8,5,22,1.982,0.000%,48.423,512.392,21.076,11178.147
Add n Products to Cart,225292,9,5,35,1.982,0.005%,730.394,7682.885,316.152,11178.147
Checkout 1,15014,5,3,12,0.991,0.000%,48.423,502.423,32.117,10951.481
Checkout 5,15014,5,3,13,0.991,0.000%,48.423,502.423,38.139,10950.474
Checkout 15,15014,4,3,13,0.991,0.000%,48.423,502.423,51.187,10951.481
TOTAL,345456,8,2,43,2.973,0.003%,1119.804,21353.974,502.831,20264.925
