Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,23082,67,2,161,18.485,0.033%,71.609,656.612,11.607,9559.865
List Products,23074,127,5,357,33.89,0.038%,71.609,8445.77,12.662,123027.945
Look at Product,23065,229,14,494,84.211,0.129%,71.609,7594.606,11.607,110668.383
Login,23034,104,8,227,26.701,0.033%,71.609,733.623,31.653,10704.363
Add Product to Cart,23026,129,4,261,31.837,0.043%,71.609,764.021,31.653,11157.077
Add n Products to Cart,344214,129,1,328,30.81,0.039%,1064.317,11427.882,466.355,11157.077
Checkout 1,22884,97,4,203,25.674,0.024%,70.627,744.768,46.424,10931.228
Checkout 5,22879,97,4,240,25.674,0.034%,70.627,744.768,55.92,10930.21
Checkout 15,22870,97,5,186,25.674,0.038%,70.627,743.754,75.968,10930.21
TOTAL,528127,125,1,494,44.159,0.041%,1632.281,31851.749,743.847,20271.35
