Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login,1980,1,1,7,0.58,0.000%,6.56268,65.18,3.11,10171.0
Login Action,1978,7,6,23,0.90,0.000%,6.55694,66.90,12.11,10448.0
Homepage [0],1978,1,1,18,0.65,0.000%,6.55720,61.74,6.94,9641.5
Browse (Green tea),1975,4,3,11,0.84,0.000%,6.55933,677.71,7.08,105799.5
Add to cart (Green tea),1975,8,6,21,1.15,0.000%,6.56279,183.29,16.49,28599.0
View cart (Green tea),1975,6,4,16,0.98,0.000%,6.56288,177.29,7.91,27662.7
Browse (Herbal tea),1971,4,3,10,0.84,0.000%,6.55900,974.59,7.91,152154.6
Add to cart (Herbal tea),1969,8,6,19,1.20,0.000%,6.55466,187.48,18.04,29289.0
View cart (Herbal tea),1969,6,4,23,1.09,0.000%,6.55475,180.73,8.67,28233.7
Browse (White tea),1965,4,3,16,0.85,0.000%,6.55179,724.62,8.66,113252.8
Add to cart (White tea),1961,8,6,23,1.26,0.000%,6.54445,191.58,19.52,29977.0
View cart (White tea),1961,7,5,19,1.08,0.000%,6.54445,184.09,9.40,28804.9
"Browse (Black tea, 1) [0]",1959,4,3,15,0.82,0.000%,6.54619,630.24,9.40,98586.1
"Browse (Black tea, 2)",1958,4,3,11,0.82,0.000%,6.54681,658.45,9.54,102988.9
"Browse (Black tea, 3)",1956,4,3,30,1.03,0.000%,6.55452,669.61,9.55,104611.2
"Browse (Black tea, 1) [1]",1956,4,3,10,0.77,0.000%,6.55634,631.18,9.55,98581.0
Add to cart (Black tea),1954,9,7,22,1.23,0.000%,6.55458,196.26,21.03,30661.0
View cart (Black tea),1954,7,5,19,1.11,0.000%,6.55454,188.02,10.16,29374.1
Checkout,1938,5,4,11,0.90,0.000%,6.52910,89.97,21.93,14111.3
Order,1938,2,1,10,0.55,0.000%,6.52923,82.18,9.98,12888.0
Add order details,1934,12,8,25,1.66,0.000%,6.52428,66.68,19.18,10465.2
Homepage [1],1934,1,1,6,0.52,0.000%,6.52464,61.52,6.94,9655.2
Logout,1930,2,2,9,0.64,0.000%,6.52726,68.99,15.04,10823.0
Homepage [2],1930,1,1,7,0.53,0.000%,6.52742,60.11,6.81,9429.4
TOTAL,46998,5,1,30,2.84,0.000%,155.66117,7021.28,272.13,46188.7
