Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,18987,22,2,171,18.08,0.000%,62.57642,557.20,8.74,9118.0
List Products,18987,38,5,175,20.57,0.021%,62.57353,7217.83,10.32,118118.0
Look at Product,18983,54,1,248,21.66,0.005%,62.56674,6991.70,9.58,114429.8
Login,18982,35,8,225,19.88,0.005%,62.56943,606.09,25.35,9919.2
Add Product to Cart,18981,33,4,172,19.78,0.026%,62.57046,646.60,24.98,10581.9
Add n Products to Cart,284432,33,4,249,19.86,0.012%,937.66730,9690.10,374.29,10582.3
Logout,18943,27,3,187,19.02,0.000%,62.53177,625.93,23.69,10250.0
Checkout 1,18943,26,3,271,19.01,0.005%,62.52991,632.88,38.04,10364.2
Checkout 5,18942,26,3,198,18.85,0.021%,62.53033,632.91,45.43,10364.5
Checkout 15,18938,26,3,163,18.54,0.005%,62.52043,632.79,62.52,10364.2
TOTAL,455118,33,1,271,20.50,0.011%,1499.84182,28224.90,622.50,19270.2
