Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login,390,3,2,17,1.08,0.000%,1.29021,12.89,0.61,10227.4
Login Action,389,11,9,22,1.48,0.000%,1.28875,13.30,2.39,10570.2
Homepage [0],389,3,2,7,0.72,0.000%,1.28880,12.21,1.36,9699.7
Browse (Green tea),388,9,7,15,1.14,0.000%,1.28869,133.18,1.39,105826.3
Add to cart (Green tea),388,16,13,28,1.68,0.000%,1.28860,39.06,3.24,31039.5
View cart (Green tea),388,12,10,19,1.32,0.000%,1.28866,37.80,1.55,30038.8
Browse (Herbal tea),387,9,8,19,1.26,0.000%,1.29558,192.51,1.56,152158.4
Add to cart (Herbal tea),387,17,14,32,2.02,0.000%,1.29518,40.13,3.57,31729.5
View cart (Herbal tea),387,13,11,20,1.46,0.000%,1.29524,38.72,1.71,30609.9
Browse (White tea),387,9,6,21,1.48,0.000%,1.29484,143.24,1.71,113275.0
Add to cart (White tea),387,17,14,29,1.82,0.000%,1.29451,40.98,3.86,32417.7
View cart (White tea),387,13,11,19,1.21,0.000%,1.29454,39.42,1.86,31181.9
"Browse (Black tea, 1) [0]",387,9,7,14,1.15,0.000%,1.29531,124.75,1.86,98618.4
"Browse (Black tea, 2)",386,9,7,21,1.21,0.000%,1.29325,130.10,1.88,103016.9
"Browse (Black tea, 3)",385,9,7,15,1.10,0.000%,1.29404,132.24,1.89,104640.4
"Browse (Black tea, 1) [1]",385,9,7,14,1.01,0.000%,1.29386,124.60,1.89,98615.8
Add to cart (Black tea),385,18,14,30,1.92,0.000%,1.29450,41.85,4.15,33100.9
View cart (Black tea),385,14,12,28,1.63,0.000%,1.29458,40.14,2.01,31748.0
Checkout,382,9,7,20,1.38,0.000%,1.28205,17.82,4.31,14234.3
Order,382,3,1,9,0.82,0.262%,1.28210,16.18,1.95,12919.1
Add order details,380,27,22,42,2.65,0.000%,1.28057,13.24,3.77,10589.2
Homepage [1],380,3,2,13,1.02,0.000%,1.28071,12.15,1.36,9713.2
Logout,380,6,4,11,1.01,0.000%,1.28228,13.71,2.95,10945.3
Homepage [2],380,3,2,12,0.94,0.000%,1.28228,11.88,1.34,9486.4
TOTAL,9251,11,1,42,5.88,0.011%,30.56656,1403.92,53.45,47032.3
