Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login,396,3,2,17.076,1.089,0.000%,1.282,12.781,0.611,10076.185
Login Action,395,11,9,22.099,1.492,0.000%,1.281,13.187,2.392,10413.917
Homepage [0],395,3,2,7.031,0.726,0.000%,1.281,12.106,1.361,9556.287
Browse (Green tea),394,9,7,15.067,1.149,0.000%,1.281,132.049,1.391,104261.631
Add to cart (Green tea),394,16,13,28.126,1.693,0.000%,1.281,38.728,3.243,30580.573
View cart (Green tea),394,12,10,19.085,1.331,0.000%,1.281,37.479,1.551,29594.669
Browse (Herbal tea),393,9,8,19.085,1.27,0.000%,1.288,190.876,1.561,149908.7
Add to cart (Herbal tea),393,17,14,32.144,2.036,0.000%,1.287,39.789,3.573,31260.371
View cart (Herbal tea),393,13,11,20.09,1.472,0.000%,1.287,38.391,1.711,30157.325
Browse (White tea),393,9,6,21.094,1.492,0.000%,1.287,142.024,1.711,111600.2
Add to cart (White tea),393,17,14,29.13,1.835,0.000%,1.287,40.632,3.863,31938.396
View cart (White tea),393,13,11,19.085,1.22,0.000%,1.287,39.085,1.862,30720.868
"Browse (Black tea, 1) [0]",393,9,7,14.063,1.159,0.000%,1.287,123.691,1.862,97160.302
"Browse (Black tea, 2)",392,9,7,21.094,1.22,0.000%,1.285,128.995,1.882,101493.769
"Browse (Black tea, 3)",391,9,7,15.067,1.109,0.000%,1.286,131.117,1.892,103093.265
"Browse (Black tea, 1) [1]",391,9,7,14.063,1.018,0.000%,1.286,123.542,1.892,97157.74
Add to cart (Black tea),391,18,14,30.135,1.935,0.000%,1.287,41.495,4.153,32611.495
View cart (Black tea),391,14,12,28.126,1.643,0.000%,1.287,39.799,2.012,31278.598
Checkout,388,9,7,20.09,1.391,0.000%,1.274,17.669,4.314,14023.842
Order,388,3,1,9.04,0.827,0.262%,1.274,16.043,1.952,12728.088
Add order details,386,27,22,42.188,2.671,0.000%,1.273,13.128,3.773,10432.636
Homepage [1],386,3,2,13.058,1.028,0.000%,1.273,12.047,1.361,9569.588
Logout,386,6,4,11.049,1.018,0.000%,1.274,13.594,2.952,10783.471
Homepage [2],386,3,2,12.054,0.948,0.000%,1.274,11.779,1.341,9346.141
TOTAL,9394,3,2,42.188,5.927,0.011%,30.379,1392.001,53.494,46336.916
