Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login,7786,3,2,23,1.14,0.000%,25.90722,258.76,12.30,10227.6
Login Action,7780,10,7,43,1.89,0.013%,25.90423,267.38,47.96,10569.4
Homepage [0],7779,3,2,20,1.07,0.000%,25.91022,245.46,27.43,9700.8
Browse (Green tea),7772,9,6,46,2.25,0.000%,25.91055,2677.59,27.96,105820.0
Add to cart (Green tea),7765,16,12,61,3.67,0.013%,25.89663,784.85,65.08,31034.5
View cart (Green tea),7764,13,3,49,3.21,0.026%,25.89562,759.46,31.22,30031.5
Browse (Herbal tea),7745,9,1,65,2.36,0.013%,25.84630,3839.74,31.16,152125.8
Add to cart (Herbal tea),7739,17,12,72,3.89,0.026%,25.83042,800.16,71.09,31720.8
View cart (Herbal tea),7737,14,10,64,3.39,0.000%,25.82555,771.98,34.15,30609.5
Browse (White tea),7720,9,6,34,2.15,0.000%,25.83184,2857.33,34.15,113267.3
Add to cart (White tea),7709,18,13,69,3.90,0.000%,25.83809,817.94,77.08,32416.1
View cart (White tea),7709,15,10,59,3.50,0.000%,25.83791,786.76,37.11,31180.5
"Browse (Black tea, 1) [0]",7701,9,6,45,2.36,0.013%,25.82928,2487.07,37.09,98599.6
"Browse (Black tea, 2)",7694,9,6,44,2.24,0.000%,25.81273,2596.69,37.62,103011.4
"Browse (Black tea, 3)",7683,9,6,33,2.28,0.000%,25.79729,2636.01,37.60,104634.2
"Browse (Black tea, 1) [1]",7677,9,6,36,2.29,0.000%,25.78147,2482.73,37.57,98610.0
Add to cart (Black tea),7672,18,13,68,4.11,0.039%,25.77143,832.74,82.69,33088.1
View cart (Black tea),7668,16,11,61,3.50,0.026%,25.75972,798.46,39.91,31740.2
Checkout,7614,9,5,41,2.05,0.013%,25.72619,357.62,86.40,14234.6
Order,7613,3,2,19,0.99,0.000%,25.72594,325.27,39.33,12947.2
Add order details,7606,28,10,87,4.68,0.013%,25.72097,265.96,75.63,10588.4
Homepage [1],7605,3,2,21,1.07,0.000%,25.72942,244.05,27.38,9712.7
Logout,7588,5,3,25,1.37,0.026%,25.70983,274.76,59.23,10943.5
Homepage [2],7586,3,2,20,1.04,0.000%,25.70767,238.17,26.83,9486.9
TOTAL,184712,11,1,87,6.66,0.009%,614.52678,28219.04,1074.48,47022.0
