Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,14612,3,2,21,0.81,0.000%,48.18,429.819,7.222,9244.927
List Products,14612,9,6,29,1.317,0.000%,48.181,5534.037,8.46,119028.308
Look at Product,14612,16,11,42,1.752,0.000%,48.18,4978.446,7.876,107080.704
Login,14612,10,7,22,1.165,0.000%,48.18,470.534,20.571,10120.626
Add Product to Cart,14612,8,5,21,1.459,0.000%,48.18,501.58,20.309,10788.435
Add n Products to Cart,219104,9,5,33,1.529,0.005%,722.477,7521.137,304.569,10788.032
Checkout 1,14602,5,3,12,0.942,0.000%,48.178,491.379,30.549,10569.258
Checkout 5,14602,5,3,13,0.871,0.000%,48.178,491.369,36.343,10569.158
Checkout 15,14602,4,3,13,0.871,0.000%,48.178,491.369,49.722,10569.258
TOTAL,335967,8,2,42,2.765,0.003%,1107.561,20903.884,485.441,19558.832
