Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login,2640,3,1,21,2.17,0.000%,13.02295,129.35,6.18,10171.0
Login Action,2637,18,5,50,9.34,0.000%,13.01515,132.80,24.05,10448.0
Homepage [0],2637,3,1,32,2.45,0.000%,13.01554,122.54,13.77,9641.2
Browse (Green tea),2626,10,2,30,5.51,0.000%,12.96688,1339.71,13.99,105797.9
Add to cart (Green tea),2622,19,5,54,9.83,0.000%,12.96127,325.99,32.57,25755.0
View cart (Green tea),2622,13,3,38,7.73,0.000%,12.96159,314.15,15.63,24819.0
Browse (Herbal tea),2613,11,2,39,5.86,0.000%,12.95174,1924.46,15.61,152153.1
Add to cart (Herbal tea),2608,20,5,51,10.27,0.000%,12.95450,334.64,35.65,26452.0
View cart (Herbal tea),2608,13,4,38,8.06,0.000%,12.95296,321.25,17.12,25396.2
Browse (White tea),2602,10,2,28,5.53,0.000%,12.96566,1433.96,17.13,113250.9
Add to cart (White tea),2596,20,5,47,10.47,0.039%,12.95933,343.35,38.63,27130.6
View cart (White tea),2595,14,4,38,8.45,0.000%,12.95822,328.61,18.61,25967.8
"Browse (Black tea, 1) [0]",2595,10,2,30,5.68,0.000%,12.95861,1247.59,18.61,98585.9
"Browse (Black tea, 2)",2592,10,2,30,5.72,0.000%,12.96901,1304.34,18.90,102987.3
"Browse (Black tea, 3)",2584,10,2,29,5.61,0.000%,12.95992,1323.95,18.88,104608.9
"Browse (Black tea, 1) [1]",2580,10,3,33,5.69,0.000%,12.96059,1247.67,18.87,98576.6
Add to cart (Black tea),2580,21,5,62,11.02,0.000%,12.98133,352.71,41.64,27823.0
View cart (Black tea),2580,15,4,40,8.78,0.000%,12.98192,336.41,20.12,26535.9
Checkout,2554,13,3,36,6.81,0.039%,12.85652,177.09,43.16,14105.2
Order,2553,4,1,25,2.64,0.000%,12.85395,161.76,19.64,12886.5
Add order details,2549,24,10,49,9.24,0.000%,12.85737,131.40,37.80,10464.8
Homepage [1],2549,3,1,14,2.30,0.000%,12.85783,121.23,13.68,9655.0
Logout,2540,6,1,31,3.57,0.000%,12.83282,135.63,29.55,10823.0
Homepage [2],2540,4,1,23,2.40,0.000%,12.83250,118.15,13.38,9428.2
TOTAL,62202,12,1,62,9.19,0.003%,306.77346,13557.18,535.86,45253.4
