"Time","docker-db-1","docker-persistence-1","docker-image-1","docker-recommender-1","docker-registry-1","docker-auth-1","docker-webui-1"
2025-04-23 19:54:54,545 kB/s,6.05 MB/s,1.82 MB/s,375 kB/s,1.90 kB/s,2.46 MB/s,68.6 MB/s
2025-04-23 19:54:56,496 kB/s,5.36 MB/s,1.61 MB/s,343 kB/s,1.62 kB/s,2.49 MB/s,55.6 MB/s
2025-04-23 19:54:58,540 kB/s,5.58 MB/s,1.61 MB/s,342 kB/s,2.78 kB/s,2.67 MB/s,56.6 MB/s
2025-04-23 19:55:00,574 kB/s,5.54 MB/s,1.72 MB/s,353 kB/s,1.15 kB/s,2.93 MB/s,63.1 MB/s
2025-04-23 19:55:02,578 kB/s,5.94 MB/s,1.80 MB/s,355 kB/s,2.30 kB/s,2.83 MB/s,62.7 MB/s
2025-04-23 19:55:04,553 kB/s,5.71 MB/s,1.73 MB/s,372 kB/s,2.10 kB/s,2.56 MB/s,65.3 MB/s
2025-04-23 19:55:06,558 kB/s,5.80 MB/s,1.77 MB/s,350 kB/s,1.69 kB/s,2.76 MB/s,63.8 MB/s
2025-04-23 19:55:08,532 kB/s,5.77 MB/s,1.79 MB/s,355 kB/s,1.70 kB/s,2.54 MB/s,64.5 MB/s
2025-04-23 19:55:10,560 kB/s,5.99 MB/s,1.84 MB/s,360 kB/s,2.36 kB/s,2.67 MB/s,68.7 MB/s
2025-04-23 19:55:12,558 kB/s,5.77 MB/s,1.73 MB/s,392 kB/s,2.04 kB/s,2.75 MB/s,63.4 MB/s
2025-04-23 19:55:14,545 kB/s,5.91 MB/s,1.61 MB/s,343 kB/s,1.80 kB/s,2.63 MB/s,58.3 MB/s
2025-04-23 19:55:16,575 kB/s,5.86 MB/s,1.79 MB/s,359 kB/s,1.38 kB/s,2.89 MB/s,64.9 MB/s
2025-04-23 19:55:18,578 kB/s,5.87 MB/s,1.72 MB/s,344 kB/s,2.49 kB/s,2.73 MB/s,61.6 MB/s
2025-04-23 19:55:20,549 kB/s,5.97 MB/s,1.79 MB/s,372 kB/s,2.39 kB/s,2.65 MB/s,64.8 MB/s
2025-04-23 19:55:22,518 kB/s,5.66 MB/s,1.75 MB/s,372 kB/s,1.17 kB/s,2.65 MB/s,61.1 MB/s
2025-04-23 19:55:24,557 kB/s,5.91 MB/s,1.70 MB/s,379 kB/s,1.95 kB/s,2.67 MB/s,66.5 MB/s
2025-04-23 19:55:26,556 kB/s,5.79 MB/s,1.79 MB/s,362 kB/s,2.04 kB/s,2.75 MB/s,65.0 MB/s
2025-04-23 19:55:28,566 kB/s,5.89 MB/s,1.74 MB/s,394 kB/s,2.50 kB/s,2.75 MB/s,67.2 MB/s
2025-04-23 19:55:30,537 kB/s,5.98 MB/s,1.74 MB/s,376 kB/s,1.19 kB/s,2.74 MB/s,63.4 MB/s
2025-04-23 19:55:32,549 kB/s,5.53 MB/s,1.65 MB/s,319 kB/s,1.84 kB/s,2.68 MB/s,59.8 MB/s
2025-04-23 19:55:34,599 kB/s,5.68 MB/s,1.74 MB/s,353 kB/s,2.12 kB/s,2.78 MB/s,61.1 MB/s
2025-04-23 19:55:36,504 kB/s,5.25 MB/s,1.61 MB/s,352 kB/s,1.41 kB/s,2.51 MB/s,59.7 MB/s
2025-04-23 19:55:38,576 kB/s,6.52 MB/s,1.82 MB/s,404 kB/s,1.47 kB/s,2.96 MB/s,70.0 MB/s
2025-04-23 19:55:40,618 kB/s,6.30 MB/s,2.00 MB/s,432 kB/s,2.08 kB/s,2.78 MB/s,73.1 MB/s
2025-04-23 19:55:42,590 kB/s,6.41 MB/s,1.86 MB/s,404 kB/s,1.72 kB/s,2.93 MB/s,69.2 MB/s
2025-04-23 19:55:44,572 kB/s,5.58 MB/s,1.77 MB/s,410 kB/s,1.71 kB/s,2.61 MB/s,66.7 MB/s
2025-04-23 19:55:46,503 kB/s,5.54 MB/s,1.63 MB/s,342 kB/s,2.78 kB/s,2.45 MB/s,61.5 MB/s
2025-04-23 19:55:48,584 kB/s,5.60 MB/s,1.50 MB/s,305 kB/s,1.35 kB/s,2.79 MB/s,60.0 MB/s
2025-04-23 19:55:50,558 kB/s,5.76 MB/s,1.84 MB/s,394 kB/s,1.44 kB/s,2.84 MB/s,61.1 MB/s
2025-04-23 19:55:52,575 kB/s,5.75 MB/s,1.61 MB/s,330 kB/s,2.31 kB/s,2.47 MB/s,64.8 MB/s
2025-04-23 19:55:54,513 kB/s,5.58 MB/s,1.69 MB/s,355 kB/s,1.52 kB/s,2.48 MB/s,56.6 MB/s
2025-04-23 19:55:56,524 kB/s,5.58 MB/s,1.70 MB/s,386 kB/s,1.77 kB/s,2.54 MB/s,63.7 MB/s
2025-04-23 19:55:58,563 kB/s,6.57 MB/s,1.85 MB/s,387 kB/s,2.11 kB/s,2.83 MB/s,69.2 MB/s
2025-04-23 19:56:00,581 kB/s,6.40 MB/s,2.03 MB/s,413 kB/s,2.40 kB/s,3.12 MB/s,73.0 MB/s
2025-04-23 19:56:02,605 kB/s,6.54 MB/s,1.89 MB/s,403 kB/s,1.51 kB/s,2.85 MB/s,71.8 MB/s
2025-04-23 19:56:04,632 kB/s,6.21 MB/s,1.89 MB/s,391 kB/s,1.74 kB/s,3.00 MB/s,67.4 MB/s
2025-04-23 19:56:06,637 kB/s,6.17 MB/s,1.82 MB/s,397 kB/s,2.31 kB/s,3.10 MB/s,65.9 MB/s
2025-04-23 19:56:08,583 kB/s,6.29 MB/s,1.93 MB/s,402 kB/s,2.59 kB/s,2.82 MB/s,73.5 MB/s
2025-04-23 19:56:10,573 kB/s,6.47 MB/s,1.98 MB/s,421 kB/s,1.75 kB/s,2.86 MB/s,68.7 MB/s
2025-04-23 19:56:12,618 kB/s,6.51 MB/s,1.95 MB/s,415 kB/s,1.98 kB/s,2.95 MB/s,73.6 MB/s
2025-04-23 19:56:14,589 kB/s,5.83 MB/s,1.73 MB/s,338 kB/s,1.42 kB/s,2.62 MB/s,65.5 MB/s
2025-04-23 19:56:16,611 kB/s,6.17 MB/s,1.75 MB/s,387 kB/s,2.44 kB/s,2.91 MB/s,62.2 MB/s
2025-04-23 19:56:18,600 kB/s,6.22 MB/s,1.94 MB/s,392 kB/s,1.53 kB/s,2.99 MB/s,68.1 MB/s
2025-04-23 19:56:20,610 kB/s,6.49 MB/s,1.93 MB/s,407 kB/s,2.13 kB/s,3.06 MB/s,68.3 MB/s
2025-04-23 19:56:22,605 kB/s,6.44 MB/s,1.93 MB/s,394 kB/s,1.62 kB/s,2.93 MB/s,69.2 MB/s
2025-04-23 19:56:24,552 kB/s,5.73 MB/s,1.57 MB/s,348 kB/s,1.87 kB/s,2.98 MB/s,62.9 MB/s
2025-04-23 19:56:26,512 kB/s,5.63 MB/s,1.68 MB/s,341 kB/s,2.59 kB/s,2.80 MB/s,63.2 MB/s
2025-04-23 19:56:28,588 kB/s,5.42 MB/s,1.82 MB/s,339 kB/s,1.28 kB/s,2.65 MB/s,65.2 MB/s
2025-04-23 19:56:30,507 kB/s,5.48 MB/s,1.63 MB/s,340 kB/s,2.24 kB/s,2.55 MB/s,59.7 MB/s
2025-04-23 19:56:32,549 kB/s,5.57 MB/s,1.64 MB/s,342 kB/s,1.81 kB/s,2.60 MB/s,62.7 MB/s
2025-04-23 19:56:34,587 kB/s,6.28 MB/s,1.84 MB/s,399 kB/s,1.98 kB/s,2.75 MB/s,68.3 MB/s
2025-04-23 19:56:36,595 kB/s,6.24 MB/s,1.91 MB/s,395 kB/s,2.38 kB/s,2.89 MB/s,71.0 MB/s
2025-04-23 19:56:38,562 kB/s,6.14 MB/s,1.81 MB/s,374 kB/s,1.82 kB/s,2.84 MB/s,66.8 MB/s
2025-04-23 19:56:40,595 kB/s,6.37 MB/s,1.90 MB/s,396 kB/s,1.67 kB/s,2.98 MB/s,70.0 MB/s
2025-04-23 19:56:42,625 kB/s,6.43 MB/s,1.92 MB/s,412 kB/s,1.65 kB/s,2.93 MB/s,70.0 MB/s
2025-04-23 19:56:44,475 kB/s,5.08 MB/s,1.58 MB/s,349 kB/s,2.31 kB/s,2.59 MB/s,54.2 MB/s
2025-04-23 19:56:46,543 kB/s,5.33 MB/s,1.60 MB/s,347 kB/s,2.26 kB/s,2.51 MB/s,59.6 MB/s
2025-04-23 19:56:48,520 kB/s,5.44 MB/s,1.58 MB/s,303 kB/s,2.26 kB/s,2.51 MB/s,58.4 MB/s
2025-04-23 19:56:50,522 kB/s,5.33 MB/s,1.61 MB/s,333 kB/s,1.50 kB/s,2.51 MB/s,56.6 MB/s
2025-04-23 19:56:52,508 kB/s,5.39 MB/s,1.62 MB/s,345 kB/s,1.85 kB/s,2.48 MB/s,59.6 MB/s
2025-04-23 19:56:54,560 kB/s,6.22 MB/s,1.75 MB/s,400 kB/s,1.90 kB/s,2.77 MB/s,63.1 MB/s
2025-04-23 19:56:56,562 kB/s,6.24 MB/s,1.82 MB/s,413 kB/s,1.93 kB/s,2.82 MB/s,71.9 MB/s
2025-04-23 19:56:58,616 kB/s,6.47 MB/s,2.05 MB/s,411 kB/s,1.94 kB/s,2.94 MB/s,72.9 MB/s
2025-04-23 19:57:00,604 kB/s,6.38 MB/s,1.92 MB/s,431 kB/s,1.97 kB/s,2.84 MB/s,70.5 MB/s
2025-04-23 19:57:02,616 kB/s,6.48 MB/s,1.90 MB/s,384 kB/s,1.98 kB/s,3.08 MB/s,70.8 MB/s
2025-04-23 19:57:04,604 kB/s,6.30 MB/s,1.90 MB/s,390 kB/s,1.62 kB/s,2.90 MB/s,68.2 MB/s
2025-04-23 19:57:06,632 kB/s,6.56 MB/s,1.91 MB/s,402 kB/s,2.02 kB/s,3.00 MB/s,71.6 MB/s
2025-04-23 19:57:08,583 kB/s,6.44 MB/s,1.94 MB/s,394 kB/s,2.10 kB/s,2.95 MB/s,66.6 MB/s
2025-04-23 19:57:10,631 kB/s,6.50 MB/s,1.92 MB/s,419 kB/s,1.90 kB/s,3.03 MB/s,70.5 MB/s
2025-04-23 19:57:12,617 kB/s,6.45 MB/s,1.95 MB/s,439 kB/s,2.31 kB/s,2.74 MB/s,68.3 MB/s
2025-04-23 19:57:14,595 kB/s,6.22 MB/s,1.93 MB/s,414 kB/s,2.05 kB/s,3.09 MB/s,71.1 MB/s
2025-04-23 19:57:16,642 kB/s,6.52 MB/s,1.89 MB/s,385 kB/s,1.45 kB/s,2.97 MB/s,71.4 MB/s
2025-04-23 19:57:18,616 kB/s,6.28 MB/s,1.90 MB/s,392 kB/s,2.46 kB/s,2.95 MB/s,70.1 MB/s
2025-04-23 19:57:20,611 kB/s,5.83 MB/s,1.87 MB/s,405 kB/s,1.36 kB/s,2.92 MB/s,69.0 MB/s
2025-04-23 19:57:22,572 kB/s,5.84 MB/s,1.72 MB/s,390 kB/s,1.61 kB/s,2.87 MB/s,61.8 MB/s
2025-04-23 19:57:24,617 kB/s,6.25 MB/s,1.90 MB/s,399 kB/s,1.51 kB/s,2.80 MB/s,66.0 MB/s
2025-04-23 19:57:26,578 kB/s,6.22 MB/s,1.86 MB/s,411 kB/s,2.28 kB/s,2.88 MB/s,70.5 MB/s
2025-04-23 19:57:28,617 kB/s,6.28 MB/s,1.88 MB/s,386 kB/s,2.39 kB/s,2.90 MB/s,67.7 MB/s
2025-04-23 19:57:30,588 kB/s,6.41 MB/s,1.87 MB/s,402 kB/s,1.68 kB/s,2.70 MB/s,66.1 MB/s
2025-04-23 19:57:32,609 kB/s,6.00 MB/s,1.80 MB/s,382 kB/s,2.34 kB/s,2.89 MB/s,68.1 MB/s
2025-04-23 19:57:34,582 kB/s,6.10 MB/s,1.82 MB/s,382 kB/s,2.28 kB/s,2.92 MB/s,66.5 MB/s
2025-04-23 19:57:36,584 kB/s,6.22 MB/s,1.86 MB/s,391 kB/s,1.93 kB/s,2.77 MB/s,67.5 MB/s
2025-04-23 19:57:38,607 kB/s,6.25 MB/s,1.94 MB/s,384 kB/s,2.33 kB/s,3.03 MB/s,74.0 MB/s
2025-04-23 19:57:40,556 kB/s,5.67 MB/s,1.85 MB/s,401 kB/s,1.55 kB/s,2.71 MB/s,64.2 MB/s
2025-04-23 19:57:42,524 kB/s,5.53 MB/s,1.64 MB/s,359 kB/s,1.98 kB/s,2.59 MB/s,60.7 MB/s
2025-04-23 19:57:44,553 kB/s,5.49 MB/s,1.69 MB/s,341 kB/s,1.79 kB/s,2.56 MB/s,59.7 MB/s
2025-04-23 19:57:46,498 kB/s,5.43 MB/s,1.65 MB/s,370 kB/s,2.53 kB/s,2.53 MB/s,59.6 MB/s
2025-04-23 19:57:48,545 kB/s,5.46 MB/s,1.68 MB/s,326 kB/s,1.73 kB/s,2.62 MB/s,62.5 MB/s
2025-04-23 19:57:50,581 kB/s,6.01 MB/s,1.79 MB/s,373 kB/s,1.71 kB/s,2.78 MB/s,65.7 MB/s
2025-04-23 19:57:52,602 kB/s,6.13 MB/s,1.90 MB/s,408 kB/s,1.94 kB/s,2.96 MB/s,69.5 MB/s
2025-04-23 19:57:54,576 kB/s,6.32 MB/s,1.84 MB/s,381 kB/s,2.18 kB/s,2.81 MB/s,70.3 MB/s
2025-04-23 19:57:56,600 kB/s,6.17 MB/s,1.85 MB/s,443 kB/s,1.45 kB/s,2.89 MB/s,66.5 MB/s
2025-04-23 19:57:58,571 kB/s,6.72 MB/s,2.00 MB/s,390 kB/s,2.24 kB/s,2.85 MB/s,71.4 MB/s
2025-04-23 19:58:00,630 kB/s,6.36 MB/s,1.90 MB/s,405 kB/s,2.45 kB/s,3.05 MB/s,73.2 MB/s
2025-04-23 19:58:02,573 kB/s,6.01 MB/s,1.81 MB/s,369 kB/s,1.45 kB/s,2.83 MB/s,64.4 MB/s
2025-04-23 19:58:04,576 kB/s,6.09 MB/s,1.93 MB/s,401 kB/s,2.04 kB/s,2.89 MB/s,66.7 MB/s
2025-04-23 19:58:06,621 kB/s,6.52 MB/s,1.90 MB/s,402 kB/s,1.62 kB/s,3.02 MB/s,71.8 MB/s
2025-04-23 19:58:08,555 kB/s,5.94 MB/s,1.78 MB/s,384 kB/s,2.18 kB/s,2.74 MB/s,70.5 MB/s
2025-04-23 19:58:10,602 kB/s,6.17 MB/s,1.90 MB/s,393 kB/s,2.23 kB/s,2.87 MB/s,68.5 MB/s
2025-04-23 19:58:12,549 kB/s,6.25 MB/s,1.72 MB/s,330 kB/s,1.64 kB/s,2.40 MB/s,65.0 MB/s
2025-04-23 19:58:14,598 kB/s,5.37 MB/s,1.75 MB/s,365 kB/s,1.88 kB/s,2.76 MB/s,62.5 MB/s
2025-04-23 19:58:16,547 kB/s,5.82 MB/s,1.76 MB/s,369 kB/s,1.81 kB/s,2.69 MB/s,63.9 MB/s
2025-04-23 19:58:18,607 kB/s,5.81 MB/s,1.73 MB/s,339 kB/s,2.23 kB/s,2.97 MB/s,61.0 MB/s
2025-04-23 19:58:20,551 kB/s,5.74 MB/s,1.76 MB/s,372 kB/s,1.36 kB/s,2.67 MB/s,62.8 MB/s
2025-04-23 19:58:22,549 kB/s,5.78 MB/s,1.74 MB/s,361 kB/s,2.26 kB/s,2.76 MB/s,65.5 MB/s
2025-04-23 19:58:24,518 kB/s,6.10 MB/s,1.60 MB/s,339 kB/s,1.88 kB/s,2.51 MB/s,62.0 MB/s
2025-04-23 19:58:26,532 kB/s,5.92 MB/s,1.71 MB/s,349 kB/s,2.33 kB/s,2.67 MB/s,65.8 MB/s
2025-04-23 19:58:28,563 kB/s,6.26 MB/s,1.82 MB/s,374 kB/s,2.22 kB/s,2.70 MB/s,68.8 MB/s
2025-04-23 19:58:30,575 kB/s,5.90 MB/s,1.76 MB/s,376 kB/s,2.42 kB/s,2.79 MB/s,64.6 MB/s
2025-04-23 19:58:32,520 kB/s,5.56 MB/s,1.64 MB/s,356 kB/s,1.59 kB/s,2.63 MB/s,59.5 MB/s
2025-04-23 19:58:34,573 kB/s,5.76 MB/s,1.71 MB/s,340 kB/s,1.87 kB/s,2.71 MB/s,60.8 MB/s
2025-04-23 19:58:36,579 kB/s,6.14 MB/s,1.86 MB/s,356 kB/s,2.06 kB/s,2.91 MB/s,63.2 MB/s
2025-04-23 19:58:38,504 kB/s,5.57 MB/s,1.70 MB/s,328 kB/s,2.13 kB/s,2.45 MB/s,54.9 MB/s
2025-04-23 19:58:40,523 kB/s,5.61 MB/s,1.67 MB/s,331 kB/s,1.63 kB/s,2.56 MB/s,59.3 MB/s
2025-04-23 19:58:42,580 kB/s,6.28 MB/s,1.92 MB/s,417 kB/s,1.86 kB/s,2.85 MB/s,69.9 MB/s
2025-04-23 19:58:44,611 kB/s,6.40 MB/s,1.86 MB/s,340 kB/s,1.32 kB/s,2.81 MB/s,71.1 MB/s
2025-04-23 19:58:46,229 kB/s,131 B/s,0 B/s,15.0 kB/s,1.40 kB/s,201 B/s,23.9 MB/s
2025-04-23 19:58:48,0 B/s,0 B/s,275 B/s,462 B/s,1.23 kB/s,274 B/s,177 B/s
2025-04-23 19:58:50,0 B/s,114 B/s,125 B/s,114 B/s,2.27 kB/s,228 B/s,904 B/s
2025-04-23 19:58:52,0 B/s,111 B/s,295 B/s,170 B/s,1.56 kB/s,216 B/s,62.3 B/s
2025-04-23 19:58:54,0 B/s,179 B/s,181 B/s,176 B/s,1.66 kB/s,257 B/s,209 B/s
2025-04-23 19:58:56,0 B/s,0 B/s,170 B/s,386 B/s,1.89 kB/s,112 B/s,919 B/s
2025-04-23 19:58:58,0 B/s,151 B/s,0 B/s,405 B/s,2.70 kB/s,200 B/s,803 B/s
2025-04-23 19:59:00,0 B/s,0 B/s,327 B/s,427 B/s,1.64 kB/s,163 B/s,122 B/s
2025-04-23 19:59:02,0 B/s,182 B/s,221 B/s,178 B/s,1.95 kB/s,146 B/s,639 B/s
2025-04-23 19:59:04,0 B/s,1.32 kB/s,124 B/s,172 B/s,2.53 kB/s,3.53 kB/s,8.26 kB/s
2025-04-23 19:59:06,0 B/s,9.31 kB/s,1.76 kB/s,1.16 kB/s,2.31 kB/s,3.55 kB/s,26.5 kB/s
2025-04-23 19:59:08,0 B/s,126 B/s,310 B/s,388 B/s,2.00 kB/s,169 B/s,176 B/s
2025-04-23 19:59:10,0 B/s,137 B/s,205 B/s,496 B/s,1.88 kB/s,150 B/s,556 B/s
2025-04-23 19:59:12,0 B/s,164 B/s,117 B/s,371 B/s,1.71 kB/s,259 B/s,187 B/s
2025-04-23 19:59:14,0 B/s,137 B/s,163 B/s,151 B/s,1.46 kB/s,151 B/s,715 B/s
2025-04-23 19:59:16,0 B/s,149 B/s,291 B/s,128 B/s,1.62 kB/s,152 B/s,762 B/s
2025-04-23 19:59:18,0 B/s,0 B/s,371 B/s,333 B/s,2.59 kB/s,168 B/s,152 B/s
2025-04-23 19:59:20,0 B/s,124 B/s,130 B/s,151 B/s,1.63 kB/s,0 B/s,675 B/s
2025-04-23 19:59:22,0 B/s,0 B/s,239 B/s,479 B/s,1.81 kB/s,317 B/s,172 B/s
2025-04-23 19:59:24,0 B/s,147 B/s,152 B/s,112 B/s,2.21 kB/s,158 B/s,669 B/s
2025-04-23 19:59:26,0 B/s,0 B/s,275 B/s,332 B/s,1.40 kB/s,188 B/s,1.02 kB/s
2025-04-23 19:59:28,0 B/s,106 B/s,171 B/s,456 B/s,1.63 kB/s,178 B/s,686 B/s
2025-04-23 19:59:30,0 B/s,173 B/s,283 B/s,167 B/s,1.85 kB/s,272 B/s,127 B/s
