"Time","docker-db-1","docker-persistence-1","docker-image-1","docker-recommender-1","docker-registry-1","docker-auth-1","docker-webui-1"
2025-04-23 19:55:14,1.77 MB/s,5.88 MB/s,48.7 MB/s,163 kB/s,1.27 kB/s,2.03 MB/s,73.4 MB/s
2025-04-23 19:55:16,1.94 MB/s,5.89 MB/s,54.9 MB/s,172 kB/s,1.01 kB/s,2.19 MB/s,79.0 MB/s
2025-04-23 19:55:18,1.89 MB/s,5.88 MB/s,51.7 MB/s,164 kB/s,1.67 kB/s,2.09 MB/s,77.1 MB/s
2025-04-23 19:55:20,1.96 MB/s,6.02 MB/s,54.4 MB/s,180 kB/s,1.76 kB/s,2.02 MB/s,79.0 MB/s
2025-04-23 19:55:22,1.76 MB/s,5.72 MB/s,55.2 MB/s,180 kB/s,640 B/s,2.02 MB/s,77.3 MB/s
2025-04-23 19:55:24,1.90 MB/s,5.96 MB/s,53.2 MB/s,180 kB/s,1.44 kB/s,2.04 MB/s,80.5 MB/s
2025-04-23 19:55:26,1.92 MB/s,5.88 MB/s,55.4 MB/s,173 kB/s,1.38 kB/s,2.12 MB/s,81.3 MB/s
2025-04-23 19:55:28,1.90 MB/s,5.88 MB/s,55.4 MB/s,189 kB/s,1.72 kB/s,2.10 MB/s,81.1 MB/s
2025-04-23 19:55:30,1.84 MB/s,6.00 MB/s,51.5 MB/s,179 kB/s,650 B/s,2.11 MB/s,77.2 MB/s
2025-04-23 19:55:32,1.76 MB/s,5.58 MB/s,49.8 MB/s,153 kB/s,1.13 kB/s,2.05 MB/s,73.8 MB/s
2025-04-23 19:55:34,1.96 MB/s,5.69 MB/s,51.5 MB/s,169 kB/s,1.37 kB/s,2.12 MB/s,76.4 MB/s
2025-04-23 19:55:36,1.78 MB/s,5.28 MB/s,50.5 MB/s,168 kB/s,966 B/s,1.90 MB/s,73.7 MB/s
2025-04-23 19:55:38,1.99 MB/s,6.46 MB/s,53.6 MB/s,195 kB/s,1.04 kB/s,2.26 MB/s,85.7 MB/s
2025-04-23 19:55:40,2.10 MB/s,6.38 MB/s,61.7 MB/s,209 kB/s,1.35 kB/s,2.12 MB/s,90.3 MB/s
2025-04-23 19:55:42,2.02 MB/s,6.43 MB/s,57.1 MB/s,193 kB/s,1.01 kB/s,2.25 MB/s,83.6 MB/s
2025-04-23 19:55:44,1.98 MB/s,5.66 MB/s,55.8 MB/s,196 kB/s,939 B/s,1.99 MB/s,85.9 MB/s
2025-04-23 19:55:46,1.73 MB/s,5.58 MB/s,49.4 MB/s,160 kB/s,2.00 kB/s,1.87 MB/s,74.0 MB/s
2025-04-23 19:55:48,1.90 MB/s,5.63 MB/s,46.5 MB/s,145 kB/s,740 B/s,2.15 MB/s,74.3 MB/s
2025-04-23 19:55:50,1.91 MB/s,5.78 MB/s,51.8 MB/s,189 kB/s,917 B/s,2.16 MB/s,74.3 MB/s
2025-04-23 19:55:52,1.97 MB/s,5.76 MB/s,51.4 MB/s,159 kB/s,1.54 kB/s,1.89 MB/s,82.0 MB/s
2025-04-23 19:55:54,1.73 MB/s,5.62 MB/s,50.8 MB/s,171 kB/s,834 B/s,1.89 MB/s,73.3 MB/s
2025-04-23 19:55:56,1.80 MB/s,5.64 MB/s,52.8 MB/s,186 kB/s,1.30 kB/s,1.95 MB/s,76.2 MB/s
2025-04-23 19:55:58,1.96 MB/s,6.58 MB/s,58.8 MB/s,185 kB/s,1.40 kB/s,2.16 MB/s,86.7 MB/s
2025-04-23 19:56:00,2.07 MB/s,6.46 MB/s,62.5 MB/s,198 kB/s,1.65 kB/s,2.39 MB/s,88.3 MB/s
2025-04-23 19:56:02,2.13 MB/s,6.59 MB/s,59.3 MB/s,191 kB/s,829 B/s,2.18 MB/s,88.9 MB/s
2025-04-23 19:56:04,2.05 MB/s,6.22 MB/s,55.6 MB/s,186 kB/s,1.28 kB/s,2.30 MB/s,82.5 MB/s
2025-04-23 19:56:06,1.99 MB/s,6.16 MB/s,55.2 MB/s,192 kB/s,1.57 kB/s,2.33 MB/s,85.0 MB/s
2025-04-23 19:56:08,2.06 MB/s,6.30 MB/s,59.5 MB/s,195 kB/s,1.91 kB/s,2.17 MB/s,88.1 MB/s
2025-04-23 19:56:10,2.02 MB/s,6.51 MB/s,61.7 MB/s,204 kB/s,1.07 kB/s,2.22 MB/s,83.4 MB/s
2025-04-23 19:56:12,2.12 MB/s,6.58 MB/s,59.9 MB/s,198 kB/s,1.25 kB/s,2.25 MB/s,90.7 MB/s
2025-04-23 19:56:14,2.05 MB/s,5.89 MB/s,54.2 MB/s,161 kB/s,773 B/s,2.01 MB/s,80.1 MB/s
2025-04-23 19:56:16,2.01 MB/s,6.21 MB/s,52.9 MB/s,185 kB/s,1.80 kB/s,2.25 MB/s,75.3 MB/s
2025-04-23 19:56:18,2.05 MB/s,6.23 MB/s,57.5 MB/s,188 kB/s,733 B/s,2.26 MB/s,85.3 MB/s
2025-04-23 19:56:20,2.06 MB/s,6.51 MB/s,58.2 MB/s,196 kB/s,1.60 kB/s,2.34 MB/s,84.5 MB/s
2025-04-23 19:56:22,2.01 MB/s,6.44 MB/s,57.6 MB/s,191 kB/s,856 B/s,2.25 MB/s,85.5 MB/s
2025-04-23 19:56:24,1.92 MB/s,5.78 MB/s,49.2 MB/s,166 kB/s,1.03 kB/s,2.26 MB/s,77.8 MB/s
2025-04-23 19:56:26,1.75 MB/s,5.72 MB/s,52.9 MB/s,164 kB/s,1.94 kB/s,2.14 MB/s,75.7 MB/s
2025-04-23 19:56:28,2.02 MB/s,5.47 MB/s,55.3 MB/s,161 kB/s,703 B/s,2.04 MB/s,80.8 MB/s
2025-04-23 19:56:30,1.75 MB/s,5.48 MB/s,50.4 MB/s,162 kB/s,1.50 kB/s,1.94 MB/s,70.2 MB/s
2025-04-23 19:56:32,1.82 MB/s,5.63 MB/s,50.3 MB/s,165 kB/s,993 B/s,1.98 MB/s,81.0 MB/s
2025-04-23 19:56:34,2.00 MB/s,6.28 MB/s,57.3 MB/s,191 kB/s,1.46 kB/s,2.10 MB/s,82.0 MB/s
2025-04-23 19:56:36,2.06 MB/s,6.30 MB/s,58.7 MB/s,189 kB/s,1.55 kB/s,2.22 MB/s,85.8 MB/s
