"Time","docker-db-1","docker-persistence-1","docker-image-1","docker-recommender-1","docker-registry-1","docker-auth-1","docker-webui-1"
2025-04-23 20:03:04,5.59%,63.0%,25.8%,9.14%,0.272%,41.3%,110%
2025-04-23 20:03:05,5.55%,63.8%,26.3%,9.14%,0.271%,41.3%,109%
2025-04-23 20:03:06,5.55%,63.0%,26.0%,9.13%,0.272%,41.3%,110%
2025-04-23 20:03:07,5.51%,62.7%,26.4%,8.95%,0.271%,41.1%,109%
2025-04-23 20:03:08,5.48%,62.3%,26.5%,9.11%,0.271%,41.3%,109%
2025-04-23 20:03:09,5.48%,62.8%,26.1%,9.06%,0.270%,40.7%,109%
2025-04-23 20:03:10,5.46%,61.5%,26.0%,9.06%,0.270%,41.2%,108%
2025-04-23 20:03:11,5.46%,61.5%,26.4%,9.11%,0.269%,41.1%,109%
2025-04-23 20:03:12,5.49%,62.5%,26.1%,9.11%,0.268%,40.1%,107%
2025-04-23 20:03:13,5.49%,60.9%,26.1%,9.19%,0.287%,41.0%,109%
2025-04-23 20:03:14,5.43%,61.9%,25.7%,9.08%,0.285%,40.3%,109%
2025-04-23 20:03:15,5.42%,61.1%,26.1%,9.14%,0.286%,41.1%,107%
2025-04-23 20:03:16,5.50%,61.1%,25.9%,9.22%,0.287%,41.0%,107%
2025-04-23 20:03:17,5.37%,60.3%,26.2%,9.15%,0.287%,40.3%,108%
2025-04-23 20:03:18,5.40%,61.1%,25.8%,9.12%,0.288%,40.8%,107%
2025-04-23 20:03:19,5.40%,59.9%,25.6%,9.12%,0.288%,40.9%,106%
2025-04-23 20:03:20,5.40%,61.0%,25.7%,9.13%,0.288%,40.0%,106%
2025-04-23 20:03:21,5.40%,59.6%,25.7%,9.11%,0.288%,40.8%,106%
2025-04-23 20:03:22,5.40%,60.4%,26.0%,9.11%,0.286%,40.5%,106%
2025-04-23 20:03:23,5.38%,59.8%,25.9%,9.17%,0.288%,39.5%,107%
2025-04-23 20:03:24,5.36%,60.5%,25.9%,9.19%,0.287%,40.3%,106%
2025-04-23 20:03:25,5.36%,59.3%,25.7%,9.05%,0.287%,40.3%,105%
2025-04-23 20:03:26,5.36%,59.5%,25.7%,9.17%,0.286%,40.8%,105%
2025-04-23 20:03:27,5.38%,59.3%,25.5%,9.19%,0.286%,40.1%,105%
2025-04-23 20:03:28,5.40%,59.3%,26.0%,9.21%,0.282%,40.7%,105%
2025-04-23 20:03:29,5.40%,59.2%,25.6%,9.06%,0.285%,40.6%,105%
2025-04-23 20:03:30,5.39%,58.6%,25.5%,9.22%,0.283%,40.6%,104%
2025-04-23 20:03:31,5.40%,58.8%,25.7%,9.08%,0.286%,40.6%,104%
2025-04-23 20:03:32,5.30%,58.2%,25.8%,9.20%,0.287%,40.6%,105%
2025-04-23 20:03:33,5.40%,59.0%,25.3%,9.21%,0.287%,39.9%,102%
2025-04-23 20:03:34,5.27%,58.9%,25.7%,9.17%,0.287%,40.4%,104%
2025-04-23 20:03:35,5.38%,58.0%,25.2%,9.10%,0.289%,39.4%,103%
2025-04-23 20:03:36,5.30%,59.1%,25.6%,9.13%,0.289%,40.3%,104%
2025-04-23 20:03:37,5.35%,58.0%,25.7%,9.10%,0.287%,40.4%,104%
2025-04-23 20:03:38,5.36%,58.0%,25.3%,9.24%,0.287%,39.7%,104%
2025-04-23 20:03:39,5.25%,58.6%,25.7%,9.15%,0.287%,40.2%,104%
2025-04-23 20:03:40,5.31%,57.7%,25.7%,9.14%,0.287%,40.0%,104%
2025-04-23 20:03:41,5.33%,57.4%,25.3%,9.14%,0.286%,40.5%,104%
2025-04-23 20:03:42,5.23%,57.4%,25.3%,9.17%,0.286%,40.2%,102%
2025-04-23 20:03:43,5.31%,57.3%,25.8%,9.19%,0.286%,39.8%,103%
2025-04-23 20:03:44,5.38%,58.4%,25.6%,9.21%,0.286%,40.3%,105%
2025-04-23 20:03:45,5.45%,58.7%,25.9%,9.40%,0.287%,41.1%,105%
2025-04-23 20:03:46,5.45%,59.7%,26.4%,9.44%,0.287%,41.8%,107%
2025-04-23 20:03:47,5.56%,60.6%,26.4%,9.56%,0.287%,41.8%,109%
2025-04-23 20:03:48,5.60%,61.0%,27.0%,9.74%,0.288%,42.4%,109%
2025-04-23 20:03:49,5.69%,61.7%,27.6%,9.78%,0.287%,43.1%,111%
2025-04-23 20:03:50,5.77%,62.6%,27.6%,9.87%,0.288%,43.8%,112%
2025-04-23 20:03:51,5.88%,63.6%,28.0%,9.87%,0.289%,44.0%,113%
2025-04-23 20:03:52,5.88%,64.3%,28.4%,10.1%,0.290%,44.8%,115%
2025-04-23 20:03:53,6.01%,64.6%,28.5%,10.3%,0.290%,45.4%,116%
2025-04-23 20:03:54,6.13%,65.8%,29.1%,10.4%,0.289%,45.7%,118%
2025-04-23 20:03:55,6.13%,66.9%,29.1%,10.4%,0.289%,46.4%,119%
2025-04-23 20:03:56,6.23%,67.1%,29.6%,10.6%,0.289%,46.6%,120%
2025-04-23 20:03:57,6.32%,68.2%,30.1%,10.6%,0.289%,47.4%,122%
2025-04-23 20:03:58,6.38%,69.1%,30.4%,10.8%,0.290%,47.4%,124%
2025-04-23 20:03:59,6.42%,69.4%,30.4%,10.9%,0.290%,48.2%,124%
2025-04-23 20:04:00,6.51%,70.5%,30.8%,10.9%,0.292%,49.2%,126%
2025-04-23 20:04:01,6.55%,70.5%,31.4%,11.1%,0.292%,49.2%,127%
2025-04-23 20:04:02,6.67%,71.8%,31.6%,11.2%,0.293%,50.1%,128%
2025-04-23 20:04:03,6.78%,72.9%,31.9%,11.3%,0.294%,50.5%,130%
2025-04-23 20:04:04,6.81%,73.9%,32.0%,11.5%,0.294%,50.7%,132%
2025-04-23 20:04:05,6.92%,74.1%,32.6%,11.5%,0.294%,51.5%,132%
2025-04-23 20:04:06,7.00%,75.4%,33.0%,11.7%,0.294%,51.7%,134%
2025-04-23 20:04:07,7.03%,75.4%,33.5%,11.8%,0.294%,52.3%,136%
2025-04-23 20:04:08,7.10%,76.8%,33.7%,11.9%,0.294%,53.1%,138%
2025-04-23 20:04:09,7.23%,77.6%,33.9%,12.0%,0.297%,53.1%,138%
2025-04-23 20:04:10,7.27%,77.9%,34.4%,12.1%,0.298%,54.1%,139%
2025-04-23 20:04:11,7.32%,79.1%,34.4%,12.2%,0.298%,54.9%,142%
2025-04-23 20:04:12,7.44%,80.2%,35.0%,12.3%,0.298%,55.4%,142%
2025-04-23 20:04:13,7.47%,80.2%,35.2%,12.4%,0.298%,55.7%,144%
2025-04-23 20:04:14,7.56%,81.4%,35.5%,12.5%,0.300%,56.1%,145%
2025-04-23 20:04:15,7.66%,81.8%,35.6%,12.6%,0.300%,56.7%,146%
2025-04-23 20:04:16,7.69%,83.2%,36.2%,12.8%,0.301%,57.6%,149%
2025-04-23 20:04:17,7.82%,83.2%,36.6%,12.9%,0.301%,58.0%,151%
2025-04-23 20:04:18,7.86%,84.5%,37.1%,13.0%,0.302%,58.6%,151%
2025-04-23 20:04:19,7.93%,85.6%,37.2%,13.1%,0.302%,58.8%,153%
2025-04-23 20:04:20,8.02%,85.6%,37.7%,13.2%,0.303%,59.6%,152%
2025-04-23 20:04:21,8.13%,87.2%,38.0%,13.3%,0.303%,59.4%,155%
2025-04-23 20:04:22,8.13%,87.8%,38.5%,13.4%,0.303%,60.4%,158%
2025-04-23 20:04:23,8.22%,88.2%,38.7%,13.5%,0.303%,61.1%,158%
2025-04-23 20:04:24,8.31%,89.6%,38.9%,13.6%,0.304%,61.4%,159%
2025-04-23 20:04:25,8.37%,90.1%,39.0%,13.7%,0.305%,62.1%,161%
2025-04-23 20:04:26,8.40%,90.7%,39.5%,13.9%,0.304%,62.4%,163%
2025-04-23 20:04:27,8.54%,91.7%,40.1%,13.9%,0.305%,63.2%,163%
2025-04-23 20:04:28,8.63%,92.1%,40.3%,14.0%,0.305%,63.6%,166%
2025-04-23 20:04:29,8.72%,93.3%,40.7%,14.2%,0.305%,64.5%,167%
2025-04-23 20:04:30,8.77%,94.3%,41.0%,14.2%,0.306%,64.8%,168%
2025-04-23 20:04:31,8.86%,94.9%,41.2%,14.4%,0.307%,65.2%,170%
2025-04-23 20:04:32,8.89%,95.7%,41.6%,14.6%,0.307%,66.0%,170%
2025-04-23 20:04:33,9.00%,96.8%,42.1%,14.6%,0.308%,66.6%,173%
2025-04-23 20:04:34,9.08%,96.8%,42.3%,14.7%,0.309%,67.0%,173%
2025-04-23 20:04:35,9.12%,98.0%,42.7%,14.9%,0.309%,67.6%,175%
2025-04-23 20:04:36,9.24%,99.0%,43.1%,15.0%,0.310%,68.0%,176%
2025-04-23 20:04:37,9.36%,99.0%,43.4%,15.1%,0.309%,68.5%,178%
2025-04-23 20:04:38,9.36%,100%,43.6%,15.2%,0.309%,68.8%,179%
2025-04-23 20:04:39,9.51%,101%,44.2%,15.3%,0.309%,69.6%,180%
2025-04-23 20:04:40,9.51%,102%,44.2%,15.4%,0.309%,70.4%,181%
2025-04-23 20:04:41,9.61%,103%,44.6%,15.5%,0.309%,70.4%,184%
