"Time","docker-db-1","docker-persistence-1","docker-image-1","docker-recommender-1","docker-registry-1","docker-auth-1","docker-webui-1"
2025-04-23 20:03:14,184 MiB,1.33 GiB,1.20 GiB,1.02 GiB,511 MiB,1.35 GiB,2.52 GiB
2025-04-23 20:03:16,184 MiB,1.33 GiB,1.20 GiB,1.02 GiB,511 MiB,1.35 GiB,2.52 GiB
2025-04-23 20:03:18,185 MiB,1.33 GiB,1.20 GiB,1.02 GiB,511 MiB,1.35 GiB,2.52 GiB
2025-04-23 20:03:20,185 MiB,1.33 GiB,1.20 GiB,1.02 GiB,511 MiB,1.35 GiB,2.52 GiB
2025-04-23 20:03:22,185 MiB,1.33 GiB,1.20 GiB,1.02 GiB,511 MiB,1.35 GiB,2.52 GiB
2025-04-23 20:03:24,185 MiB,1.33 GiB,1.20 GiB,1.02 GiB,511 MiB,1.35 GiB,2.52 GiB
2025-04-23 20:03:26,186 MiB,1.33 GiB,1.20 GiB,1.02 GiB,511 MiB,1.35 GiB,2.52 GiB
2025-04-23 20:03:28,186 MiB,1.33 GiB,1.20 GiB,1.02 GiB,511 MiB,1.35 GiB,2.52 GiB
2025-04-23 20:03:30,186 MiB,1.33 GiB,1.20 GiB,1.02 GiB,511 MiB,1.35 GiB,2.52 GiB
2025-04-23 20:03:32,187 MiB,1.33 GiB,1.20 GiB,1.02 GiB,511 MiB,1.35 GiB,2.52 GiB
2025-04-23 20:03:34,187 MiB,1.33 GiB,1.20 GiB,1.02 GiB,511 MiB,1.35 GiB,2.52 GiB
2025-04-23 20:03:36,187 MiB,1.33 GiB,1.20 GiB,1.02 GiB,511 MiB,1.35 GiB,2.52 GiB
2025-04-23 20:03:38,188 MiB,1.33 GiB,1.20 GiB,1.02 GiB,511 MiB,1.35 GiB,2.52 GiB
2025-04-23 20:03:40,188 MiB,1.33 GiB,1.20 GiB,1.02 GiB,511 MiB,1.35 GiB,2.52 GiB
2025-04-23 20:03:42,188 MiB,1.33 GiB,1.20 GiB,1.02 GiB,511 MiB,1.35 GiB,2.52 GiB
2025-04-23 20:03:44,189 MiB,1.34 GiB,1.20 GiB,1.02 GiB,511 MiB,1.36 GiB,2.52 GiB
2025-04-23 20:03:46,189 MiB,1.34 GiB,1.20 GiB,1.02 GiB,511 MiB,1.36 GiB,2.52 GiB
2025-04-23 20:03:48,189 MiB,1.33 GiB,1.20 GiB,1.02 GiB,511 MiB,1.36 GiB,2.52 GiB
2025-04-23 20:03:50,189 MiB,1.33 GiB,1.20 GiB,1.02 GiB,511 MiB,1.36 GiB,2.52 GiB
2025-04-23 20:03:52,190 MiB,1.34 GiB,1.20 GiB,1.02 GiB,511 MiB,1.36 GiB,2.52 GiB
2025-04-23 20:03:54,190 MiB,1.34 GiB,1.20 GiB,1.02 GiB,511 MiB,1.36 GiB,2.52 GiB
2025-04-23 20:03:56,190 MiB,1.34 GiB,1.20 GiB,1.02 GiB,511 MiB,1.36 GiB,2.52 GiB
2025-04-23 20:03:58,191 MiB,1.34 GiB,1.20 GiB,1.02 GiB,511 MiB,1.35 GiB,2.52 GiB
2025-04-23 20:04:00,191 MiB,1.34 GiB,1.20 GiB,1.02 GiB,511 MiB,1.35 GiB,2.52 GiB
2025-04-23 20:04:02,191 MiB,1.33 GiB,1.20 GiB,1.02 GiB,511 MiB,1.35 GiB,2.52 GiB
2025-04-23 20:04:04,191 MiB,1.33 GiB,1.20 GiB,1.02 GiB,511 MiB,1.35 GiB,2.52 GiB
2025-04-23 20:04:06,192 MiB,1.33 GiB,1.20 GiB,1.02 GiB,511 MiB,1.35 GiB,2.52 GiB
2025-04-23 20:04:08,192 MiB,1.33 GiB,1.20 GiB,1.02 GiB,511 MiB,1.35 GiB,2.52 GiB
2025-04-23 20:04:10,192 MiB,1.33 GiB,1.20 GiB,1.02 GiB,511 MiB,1.35 GiB,2.52 GiB
2025-04-23 20:04:12,193 MiB,1.33 GiB,1.20 GiB,1.02 GiB,511 MiB,1.35 GiB,2.52 GiB
2025-04-23 20:04:14,193 MiB,1.33 GiB,1.20 GiB,1.02 GiB,512 MiB,1.35 GiB,2.52 GiB
2025-04-23 20:04:16,193 MiB,1.33 GiB,1.20 GiB,1.02 GiB,511 MiB,1.35 GiB,2.52 GiB
2025-04-23 20:04:18,193 MiB,1.33 GiB,1.20 GiB,1.02 GiB,511 MiB,1.35 GiB,2.52 GiB
2025-04-23 20:04:20,194 MiB,1.33 GiB,1.20 GiB,1.02 GiB,511 MiB,1.35 GiB,2.52 GiB
2025-04-23 20:04:22,194 MiB,1.33 GiB,1.20 GiB,1.02 GiB,511 MiB,1.35 GiB,2.52 GiB
2025-04-23 20:04:24,194 MiB,1.33 GiB,1.20 GiB,1.02 GiB,511 MiB,1.35 GiB,2.52 GiB
2025-04-23 20:04:26,195 MiB,1.33 GiB,1.20 GiB,1.02 GiB,511 MiB,1.35 GiB,2.52 GiB
2025-04-23 20:04:28,195 MiB,1.33 GiB,1.21 GiB,1.02 GiB,511 MiB,1.35 GiB,2.52 GiB
2025-04-23 20:04:30,195 MiB,1.33 GiB,1.20 GiB,1.02 GiB,511 MiB,1.35 GiB,2.52 GiB
2025-04-23 20:04:32,196 MiB,1.33 GiB,1.21 GiB,1.02 GiB,511 MiB,1.35 GiB,2.52 GiB
