Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login,20129,4,3,7,11,23,1,287,0.000%,64.55699,641.22,30.64
Login Action,20101,12,10,20,26,44,3,466,0.015%,64.49036,657.93,119.14
Homepage [0],20097,4,3,8,12,24,1,268,0.000%,64.47980,607.14,68.24
Browse (Green tea),20068,9,7,18,25,44,2,334,0.010%,64.43741,6657.00,69.50
Add to cart (Green tea),20054,17,13,34,45,75,5,435,0.010%,64.42059,1620.13,161.89
View cart (Green tea),20052,14,10,27,36,62,4,437,0.005%,64.42306,1561.39,77.68
Browse (Herbal tea),20006,10,7,19,25,43,3,239,0.005%,64.40626,9569.61,77.65
Add to cart (Herbal tea),19973,18,13,36,48,83,0,452,0.020%,64.29795,1660.66,176.94
View cart (Herbal tea),19968,15,10,29,39,66,4,333,0.000%,64.29013,1594.53,84.99
Browse (White tea),19929,9,7,18,25,44,3,561,0.010%,64.18482,7098.10,84.84
Add to cart (White tea),19903,19,14,38,50,83,6,352,0.015%,64.22042,1701.87,191.54
View cart (White tea),19899,16,11,31,41,70,2,350,0.015%,64.20689,1628.04,92.20
"Browse (Black tea, 1) [0]",19886,9,7,18,25,46,2,317,0.000%,64.20369,6181.30,92.20
"Browse (Black tea, 2)",19876,10,7,19,25,47,3,420,0.000%,64.21120,6458.10,93.58
"Browse (Black tea, 3)",19854,9,7,19,25,44,1,362,0.015%,64.19052,6556.79,93.52
"Browse (Black tea, 1) [1]",19844,9,7,19,25,45,2,433,0.020%,64.19160,6178.62,93.50
Add to cart (Black tea),19834,20,14,38,51,83,6,391,0.005%,64.21389,1744.67,206.03
View cart (Black tea),19833,16,11,31,41,68,4,364,0.005%,64.20878,1663.90,99.49
Checkout,19695,11,8,20,27,47,3,445,0.000%,63.85069,879.94,214.45
Order,19695,4,3,8,13,25,1,402,0.000%,63.85048,803.72,97.61
Add order details,19671,26,22,41,50,74,8,541,0.015%,63.77908,651.75,187.53
Homepage [1],19668,4,3,8,12,25,1,333,0.005%,63.77163,601.32,67.87
Logout,19630,6,4,12,17,31,2,317,0.000%,63.85422,674.90,147.10
Homepage [2],19630,4,3,8,12,23,1,308,0.005%,63.85588,587.96,66.61
TOTAL,477295,11,8,24,34,60,0,561,0.007%,1530.64039,67588.25,2675.80
