"Time","docker-db-1","docker-persistence-1","docker-image-1","docker-recommender-1","docker-registry-1","docker-auth-1","docker-webui-1"
2025-04-23 20:26:18,228 MiB,1.32 GiB,1.21 GiB,1.04 GiB,512 MiB,1.35 GiB,2.51 GiB
2025-04-23 20:26:20,228 MiB,1.32 GiB,1.21 GiB,1.04 GiB,512 MiB,1.35 GiB,2.51 GiB
2025-04-23 20:26:22,228 MiB,1.32 GiB,1.21 GiB,1.04 GiB,512 MiB,1.35 GiB,2.51 GiB
2025-04-23 20:26:24,228 MiB,1.32 GiB,1.21 GiB,1.04 GiB,512 MiB,1.35 GiB,2.51 GiB
2025-04-23 20:26:26,228 MiB,1.32 GiB,1.21 GiB,1.04 GiB,512 MiB,1.35 GiB,2.51 GiB
2025-04-23 20:26:28,228 MiB,1.32 GiB,1.21 GiB,1.04 GiB,512 MiB,1.35 GiB,2.51 GiB
2025-04-23 20:26:30,228 MiB,1.32 GiB,1.21 GiB,1.04 GiB,512 MiB,1.35 GiB,2.51 GiB
2025-04-23 20:26:32,228 MiB,1.32 GiB,1.21 GiB,1.04 GiB,512 MiB,1.35 GiB,2.51 GiB
2025-04-23 20:26:34,228 MiB,1.32 GiB,1.21 GiB,1.04 GiB,512 MiB,1.35 GiB,2.51 GiB
2025-04-23 20:26:36,228 MiB,1.32 GiB,1.21 GiB,1.04 GiB,512 MiB,1.35 GiB,2.51 GiB
2025-04-23 20:26:38,228 MiB,1.32 GiB,1.21 GiB,1.04 GiB,512 MiB,1.35 GiB,2.51 GiB
2025-04-23 20:26:40,228 MiB,1.32 GiB,1.21 GiB,1.04 GiB,512 MiB,1.35 GiB,2.51 GiB
2025-04-23 20:26:42,228 MiB,1.32 GiB,1.21 GiB,1.04 GiB,512 MiB,1.35 GiB,2.51 GiB
2025-04-23 20:26:44,228 MiB,1.32 GiB,1.21 GiB,1.04 GiB,512 MiB,1.35 GiB,2.51 GiB
2025-04-23 20:26:46,228 MiB,1.32 GiB,1.21 GiB,1.04 GiB,512 MiB,1.35 GiB,2.51 GiB
2025-04-23 20:26:48,228 MiB,1.32 GiB,1.21 GiB,1.04 GiB,512 MiB,1.35 GiB,2.51 GiB
2025-04-23 20:26:50,228 MiB,1.32 GiB,1.21 GiB,1.04 GiB,512 MiB,1.35 GiB,2.51 GiB
2025-04-23 20:26:52,228 MiB,1.32 GiB,1.21 GiB,1.04 GiB,512 MiB,1.35 GiB,2.51 GiB
2025-04-23 20:26:54,228 MiB,1.32 GiB,1.21 GiB,1.04 GiB,512 MiB,1.35 GiB,2.51 GiB
2025-04-23 20:26:56,228 MiB,1.32 GiB,1.21 GiB,1.04 GiB,512 MiB,1.35 GiB,2.51 GiB
2025-04-23 20:26:58,228 MiB,1.32 GiB,1.21 GiB,1.04 GiB,512 MiB,1.35 GiB,2.51 GiB
2025-04-23 20:27:00,228 MiB,1.32 GiB,1.21 GiB,1.04 GiB,512 MiB,1.35 GiB,2.51 GiB
2025-04-23 20:27:02,228 MiB,1.32 GiB,1.21 GiB,1.04 GiB,512 MiB,1.35 GiB,2.51 GiB
2025-04-23 20:27:04,228 MiB,1.32 GiB,1.21 GiB,1.04 GiB,512 MiB,1.35 GiB,2.51 GiB
2025-04-23 20:27:06,228 MiB,1.32 GiB,1.21 GiB,1.04 GiB,512 MiB,1.35 GiB,2.51 GiB
2025-04-23 20:27:08,228 MiB,1.32 GiB,1.21 GiB,1.04 GiB,512 MiB,1.35 GiB,2.51 GiB
2025-04-23 20:27:10,228 MiB,1.32 GiB,1.21 GiB,1.04 GiB,512 MiB,1.35 GiB,2.51 GiB
2025-04-23 20:27:12,228 MiB,1.32 GiB,1.21 GiB,1.04 GiB,512 MiB,1.35 GiB,2.51 GiB
2025-04-23 20:27:14,228 MiB,1.32 GiB,1.21 GiB,1.04 GiB,512 MiB,1.35 GiB,2.51 GiB
2025-04-23 20:27:16,228 MiB,1.32 GiB,1.21 GiB,1.04 GiB,512 MiB,1.34 GiB,2.51 GiB
2025-04-23 20:27:18,228 MiB,1.32 GiB,1.21 GiB,1.04 GiB,512 MiB,1.34 GiB,2.51 GiB
2025-04-23 20:27:20,228 MiB,1.32 GiB,1.21 GiB,1.04 GiB,512 MiB,1.34 GiB,2.51 GiB
2025-04-23 20:27:22,228 MiB,1.32 GiB,1.21 GiB,1.04 GiB,512 MiB,1.34 GiB,2.51 GiB
2025-04-23 20:27:24,228 MiB,1.32 GiB,1.21 GiB,1.04 GiB,512 MiB,1.34 GiB,2.51 GiB
2025-04-23 20:27:26,228 MiB,1.32 GiB,1.21 GiB,1.04 GiB,512 MiB,1.34 GiB,2.51 GiB
2025-04-23 20:27:28,228 MiB,1.32 GiB,1.21 GiB,1.04 GiB,512 MiB,1.34 GiB,2.51 GiB
2025-04-23 20:27:30,228 MiB,1.32 GiB,1.21 GiB,1.04 GiB,512 MiB,1.34 GiB,2.51 GiB
2025-04-23 20:27:32,228 MiB,1.32 GiB,1.21 GiB,1.04 GiB,512 MiB,1.34 GiB,2.51 GiB
2025-04-23 20:27:34,228 MiB,1.32 GiB,1.21 GiB,1.04 GiB,512 MiB,1.34 GiB,2.51 GiB
2025-04-23 20:27:36,228 MiB,1.33 GiB,1.21 GiB,1.04 GiB,512 MiB,1.34 GiB,2.51 GiB
2025-04-23 20:27:38,228 MiB,1.32 GiB,1.21 GiB,1.04 GiB,512 MiB,1.34 GiB,2.51 GiB
2025-04-23 20:27:40,228 MiB,1.32 GiB,1.21 GiB,1.04 GiB,512 MiB,1.34 GiB,2.51 GiB
2025-04-23 20:27:42,228 MiB,1.32 GiB,1.21 GiB,1.04 GiB,512 MiB,1.35 GiB,2.51 GiB
2025-04-23 20:27:44,228 MiB,1.32 GiB,1.21 GiB,1.04 GiB,512 MiB,1.35 GiB,2.51 GiB
2025-04-23 20:27:46,228 MiB,1.32 GiB,1.21 GiB,1.04 GiB,512 MiB,1.35 GiB,2.51 GiB
2025-04-23 20:27:48,228 MiB,1.32 GiB,1.21 GiB,1.04 GiB,512 MiB,1.35 GiB,2.51 GiB
2025-04-23 20:27:50,228 MiB,1.32 GiB,1.21 GiB,1.04 GiB,512 MiB,1.35 GiB,2.51 GiB
2025-04-23 20:27:52,228 MiB,1.32 GiB,1.21 GiB,1.04 GiB,512 MiB,1.35 GiB,2.51 GiB
