Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Homepage [0],10364,3,0,44,2.09,0.000%,33.89343,301.80,16.09,9118.0
Browse (Green tea),10357,9,2,50,5.20,0.010%,33.89670,3484.51,16.78,105265.1
Browse (Herbal tea),10322,10,2,49,5.41,0.000%,33.84185,5010.44,16.89,151608.0
Browse (White tea),10304,9,2,50,5.22,0.019%,33.83175,3723.00,16.88,112685.6
"Browse (Black tea, 1) [0]",10292,9,2,53,5.24,0.000%,33.83389,3239.36,16.88,98041.0
"Browse (Black tea, 2)",10284,9,2,52,5.22,0.000%,33.81271,3382.72,17.60,102444.0
"Browse (Black tea, 3)",10272,9,2,54,5.19,0.010%,33.83890,3438.72,17.61,104059.1
"Browse (Black tea, 1) [1]",10264,9,2,54,5.18,0.000%,33.84800,3240.71,17.62,98041.0
Homepage [1],10264,3,0,36,2.09,0.000%,33.84711,301.38,16.06,9118.0
Homepage [2],10264,3,0,41,2.06,0.000%,33.84677,301.29,15.90,9115.2
TOTAL,102987,7,0,54,5.37,0.004%,336.64574,26289.87,167.39,79967.8
