"Time","docker-db-1","docker-persistence-1","docker-image-1","docker-recommender-1","docker-registry-1","docker-auth-1","docker-webui-1"
2025-04-23 20:42:59,5.26%,157%,95.3%,1.06%,0.303%,35.2%,255%
2025-04-23 20:43:00,5.27%,157%,95.9%,1.07%,0.303%,35.2%,255%
2025-04-23 20:43:01,5.29%,158%,95.5%,1.07%,0.303%,35.2%,256%
2025-04-23 20:43:02,5.29%,158%,96.3%,1.07%,0.303%,35.3%,255%
2025-04-23 20:43:03,5.31%,158%,96.6%,1.07%,0.303%,35.2%,257%
2025-04-23 20:43:04,5.33%,159%,96.4%,1.07%,0.305%,35.4%,255%
2025-04-23 20:43:05,5.33%,159%,96.3%,1.07%,0.305%,35.4%,257%
2025-04-23 20:43:06,5.35%,160%,96.6%,1.07%,0.305%,35.4%,258%
2025-04-23 20:43:07,5.36%,161%,97.0%,1.07%,0.305%,35.5%,258%
2025-04-23 20:43:08,5.36%,161%,97.3%,1.07%,0.306%,35.4%,259%
2025-04-23 20:43:09,5.38%,162%,97.1%,1.07%,0.306%,35.6%,260%
2025-04-23 20:43:10,5.40%,162%,97.5%,1.08%,0.306%,35.7%,260%
2025-04-23 20:43:11,5.40%,162%,97.4%,1.08%,0.306%,35.7%,260%
2025-04-23 20:43:12,5.40%,163%,97.7%,1.08%,0.306%,35.7%,261%
2025-04-23 20:43:13,5.42%,163%,97.9%,1.08%,0.305%,35.7%,261%
2025-04-23 20:43:14,5.43%,163%,97.8%,1.08%,0.305%,35.8%,262%
2025-04-23 20:43:15,5.45%,164%,98.2%,1.08%,0.306%,35.8%,262%
2025-04-23 20:43:16,5.45%,164%,98.4%,1.08%,0.306%,35.9%,262%
2025-04-23 20:43:17,5.47%,165%,98.3%,1.08%,0.306%,36.0%,263%
2025-04-23 20:43:18,5.48%,166%,98.7%,1.08%,0.308%,36.1%,263%
2025-04-23 20:43:19,5.49%,166%,98.9%,1.08%,0.307%,36.1%,264%
2025-04-23 20:43:20,5.50%,166%,98.8%,1.09%,0.307%,36.1%,263%
2025-04-23 20:43:21,5.50%,167%,99.1%,1.08%,0.308%,36.2%,265%
2025-04-23 20:43:22,5.52%,167%,99.3%,1.09%,0.306%,36.2%,264%
2025-04-23 20:43:23,5.52%,168%,99.5%,1.09%,0.308%,36.3%,265%
2025-04-23 20:43:24,5.54%,168%,99.4%,1.09%,0.308%,36.4%,266%
2025-04-23 20:43:25,5.55%,169%,99.7%,1.10%,0.309%,36.4%,266%
2025-04-23 20:43:26,5.55%,169%,99.8%,1.10%,0.308%,36.5%,267%
2025-04-23 20:43:27,5.56%,169%,99.7%,1.10%,0.308%,36.5%,268%
2025-04-23 20:43:28,5.57%,170%,100%,1.10%,0.309%,36.6%,268%
2025-04-23 20:43:29,5.57%,171%,100%,1.10%,0.309%,36.5%,269%
2025-04-23 20:43:30,5.60%,171%,100%,1.10%,0.310%,36.7%,269%
2025-04-23 20:43:31,5.60%,172%,100%,1.10%,0.310%,36.6%,268%
2025-04-23 20:43:32,5.62%,172%,101%,1.10%,0.310%,36.8%,270%
2025-04-23 20:43:33,5.59%,172%,101%,1.11%,0.311%,36.9%,271%
2025-04-23 20:43:34,5.64%,173%,101%,1.11%,0.311%,36.7%,271%
2025-04-23 20:43:35,5.65%,173%,101%,1.11%,0.311%,36.9%,271%
2025-04-23 20:43:36,5.65%,174%,101%,1.11%,0.311%,36.9%,270%
2025-04-23 20:43:37,5.67%,173%,102%,1.11%,0.311%,37.0%,272%
2025-04-23 20:43:38,5.67%,175%,102%,1.11%,0.312%,37.1%,273%
2025-04-23 20:43:39,5.69%,174%,102%,1.11%,0.312%,36.9%,274%
