"Time","docker-db-1","docker-persistence-1","docker-image-1","docker-recommender-1","docker-registry-1","docker-auth-1","docker-webui-1"
2025-04-23 20:35:14,734 kB/s,5.38 MB/s,2.35 MB/s,342 B/s,1.45 kB/s,1.30 MB/s,118 MB/s
2025-04-23 20:35:16,709 kB/s,5.55 MB/s,2.34 MB/s,595 B/s,1.59 kB/s,1.30 MB/s,122 MB/s
2025-04-23 20:35:18,694 kB/s,5.54 MB/s,2.36 MB/s,315 B/s,1.31 kB/s,1.28 MB/s,119 MB/s
2025-04-23 20:35:20,751 kB/s,5.70 MB/s,2.36 MB/s,579 B/s,2.07 kB/s,1.35 MB/s,126 MB/s
2025-04-23 20:35:22,681 kB/s,5.23 MB/s,2.27 MB/s,131 B/s,2.21 kB/s,1.28 MB/s,117 MB/s
2025-04-23 20:35:24,752 kB/s,5.68 MB/s,2.50 MB/s,320 B/s,1.66 kB/s,1.33 MB/s,124 MB/s
2025-04-23 20:35:26,703 kB/s,5.40 MB/s,2.34 MB/s,0 B/s,1.79 kB/s,1.28 MB/s,117 MB/s
2025-04-23 20:35:28,700 kB/s,5.60 MB/s,2.34 MB/s,0 B/s,2.42 kB/s,1.33 MB/s,123 MB/s
2025-04-23 20:35:30,699 kB/s,5.27 MB/s,2.34 MB/s,392 B/s,1.38 kB/s,1.28 MB/s,118 MB/s
2025-04-23 20:35:32,734 kB/s,5.74 MB/s,2.41 MB/s,193 B/s,1.71 kB/s,1.35 MB/s,124 MB/s
2025-04-23 20:35:34,704 kB/s,5.41 MB/s,2.37 MB/s,204 B/s,1.98 kB/s,1.31 MB/s,120 MB/s
2025-04-23 20:35:36,719 kB/s,5.53 MB/s,2.37 MB/s,301 B/s,1.75 kB/s,1.31 MB/s,122 MB/s
2025-04-23 20:35:38,713 kB/s,5.40 MB/s,2.37 MB/s,613 B/s,2.08 kB/s,1.32 MB/s,119 MB/s
2025-04-23 20:35:40,743 kB/s,5.50 MB/s,2.34 MB/s,499 B/s,1.51 kB/s,1.30 MB/s,124 MB/s
2025-04-23 20:35:42,705 kB/s,5.47 MB/s,2.39 MB/s,449 B/s,2 kB/s,1.30 MB/s,121 MB/s
2025-04-23 20:35:44,721 kB/s,5.34 MB/s,2.28 MB/s,131 B/s,1.92 kB/s,1.32 MB/s,119 MB/s
2025-04-23 20:35:46,698 kB/s,5.51 MB/s,2.30 MB/s,411 B/s,2.31 kB/s,1.32 MB/s,120 MB/s
2025-04-23 20:35:48,711 kB/s,5.39 MB/s,2.35 MB/s,0 B/s,1.85 kB/s,1.30 MB/s,118 MB/s
2025-04-23 20:35:50,695 kB/s,5.31 MB/s,2.35 MB/s,372 B/s,2.13 kB/s,1.30 MB/s,123 MB/s
2025-04-23 20:35:52,735 kB/s,5.52 MB/s,2.37 MB/s,125 B/s,1.86 kB/s,1.35 MB/s,121 MB/s
2025-04-23 20:35:54,713 kB/s,5.58 MB/s,2.38 MB/s,484 B/s,1.76 kB/s,1.33 MB/s,123 MB/s
