"Time","docker-db-1","docker-persistence-1","docker-image-1","docker-recommender-1","docker-registry-1","docker-auth-1","docker-webui-1"
2025-04-23 20:35:18,3.29 MB/s,5.97 MB/s,113 MB/s,430 B/s,930 B/s,463 kB/s,141 MB/s
2025-04-23 20:35:20,3.55 MB/s,6.14 MB/s,114 MB/s,842 B/s,1.27 kB/s,489 kB/s,150 MB/s
2025-04-23 20:35:22,3.23 MB/s,5.63 MB/s,110 MB/s,301 B/s,1.43 kB/s,465 kB/s,138 MB/s
2025-04-23 20:35:24,3.56 MB/s,6.13 MB/s,120 MB/s,436 B/s,1.18 kB/s,483 kB/s,148 MB/s
2025-04-23 20:35:26,3.33 MB/s,5.84 MB/s,112 MB/s,47.8 B/s,1.14 kB/s,464 kB/s,139 MB/s
2025-04-23 20:35:28,3.31 MB/s,6.02 MB/s,112 MB/s,0 B/s,1.71 kB/s,482 kB/s,147 MB/s
2025-04-23 20:35:30,3.30 MB/s,5.68 MB/s,112 MB/s,606 B/s,768 B/s,462 kB/s,140 MB/s
2025-04-23 20:35:32,3.47 MB/s,6.18 MB/s,113 MB/s,384 B/s,937 B/s,489 kB/s,147 MB/s
2025-04-23 20:35:34,3.34 MB/s,5.84 MB/s,114 MB/s,408 B/s,1.46 kB/s,475 kB/s,143 MB/s
2025-04-23 20:35:36,3.40 MB/s,5.96 MB/s,113 MB/s,411 B/s,1.07 kB/s,476 kB/s,145 MB/s
2025-04-23 20:35:38,3.38 MB/s,5.82 MB/s,114 MB/s,946 B/s,1.53 kB/s,480 kB/s,141 MB/s
2025-04-23 20:35:40,3.52 MB/s,5.92 MB/s,112 MB/s,681 B/s,826 B/s,471 kB/s,147 MB/s
2025-04-23 20:35:42,3.34 MB/s,5.90 MB/s,114 MB/s,612 B/s,1.47 kB/s,471 kB/s,144 MB/s
2025-04-23 20:35:44,3.41 MB/s,5.73 MB/s,110 MB/s,262 B/s,1.32 kB/s,478 kB/s,142 MB/s
2025-04-23 20:35:46,3.31 MB/s,5.95 MB/s,109 MB/s,560 B/s,1.70 kB/s,476 kB/s,142 MB/s
2025-04-23 20:35:48,3.36 MB/s,5.81 MB/s,113 MB/s,0 B/s,1.36 kB/s,470 kB/s,140 MB/s
2025-04-23 20:35:50,3.29 MB/s,5.73 MB/s,113 MB/s,574 B/s,1.31 kB/s,470 kB/s,147 MB/s
2025-04-23 20:35:52,3.48 MB/s,5.96 MB/s,113 MB/s,250 B/s,1.18 kB/s,491 kB/s,144 MB/s
2025-04-23 20:35:54,3.37 MB/s,6.01 MB/s,113 MB/s,661 B/s,1.29 kB/s,480 kB/s,145 MB/s
2025-04-23 20:35:56,3.43 MB/s,5.96 MB/s,114 MB/s,732 B/s,1.76 kB/s,468 kB/s,145 MB/s
2025-04-23 20:35:58,3.37 MB/s,5.86 MB/s,112 MB/s,412 B/s,968 B/s,478 kB/s,143 MB/s
2025-04-23 20:36:00,3.47 MB/s,5.98 MB/s,113 MB/s,338 B/s,1.29 kB/s,475 kB/s,147 MB/s
2025-04-23 20:36:02,3.42 MB/s,5.98 MB/s,115 MB/s,657 B/s,1.40 kB/s,493 kB/s,146 MB/s
2025-04-23 20:36:04,3.42 MB/s,6.07 MB/s,114 MB/s,375 B/s,965 B/s,459 kB/s,144 MB/s
2025-04-23 20:36:06,3.33 MB/s,5.68 MB/s,110 MB/s,289 B/s,1.24 kB/s,447 kB/s,140 MB/s
2025-04-23 20:36:08,3.35 MB/s,6.02 MB/s,121 MB/s,483 B/s,1.17 kB/s,499 kB/s,149 MB/s
2025-04-23 20:36:10,3.38 MB/s,6.11 MB/s,111 MB/s,442 B/s,1.33 kB/s,481 kB/s,144 MB/s
2025-04-23 20:36:12,3.48 MB/s,5.91 MB/s,114 MB/s,624 B/s,1.38 kB/s,482 kB/s,147 MB/s
