Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Homepage [0],69878,2,2,3,4,7,0,42,0.001%,170.68685,1519.83,81.01
Browse (Green tea),69786,6,5,10,13,20,2,58,0.000%,170.51335,17530.07,84.42
Browse (Herbal tea),69655,6,5,11,14,21,2,64,0.000%,170.30021,25213.74,84.98
Browse (White tea),69552,6,5,10,13,20,2,57,0.004%,170.19319,18731.60,84.93
"Browse (Black tea, 1) [0]",69514,6,5,10,13,20,1,54,0.001%,170.23600,16298.71,84.95
"Browse (Black tea, 2)",69491,6,5,10,13,20,2,61,0.001%,170.20385,17027.46,88.59
"Browse (Black tea, 3)",69420,6,5,10,13,20,2,55,0.000%,170.14789,17292.11,88.56
"Browse (Black tea, 1) [1]",69384,6,5,10,13,20,2,57,0.003%,170.05799,16281.43,88.51
Homepage [1],69381,2,2,3,4,7,0,26,0.000%,170.06606,1514.32,80.71
Homepage [2],69380,2,2,3,4,7,0,29,0.001%,170.06319,1513.81,79.88
TOTAL,695441,4,4,9,12,18,0,64,0.001%,1698.66269,132644.21,844.66
