Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login,1373,3,3,7,7,8,1,20,0.000%,20.89739,207.57,9.92
Login Action,1362,16,14,31,32,34,5,39,0.000%,20.76378,211.81,38.36
Add to cart (Green tea),1359,17,16,32,34,38,5,73,0.000%,20.82408,523.75,52.34
View cart (Green tea),1359,12,10,25,26,29,3,38,0.074%,20.83110,504.58,25.10
Add to cart (Herbal tea),1353,17,16,32,34,38,5,64,0.000%,20.77862,536.75,57.19
View cart (Herbal tea),1352,12,10,26,28,30,4,36,0.000%,20.77762,515.30,27.46
Add to cart (White tea),1341,19,17,34,36,41,5,49,0.000%,20.69125,548.40,61.71
View cart (White tea),1341,13,11,27,29,32,4,40,0.000%,20.69253,524.73,29.72
Add to cart (Black tea),1338,19,17,35,37,41,5,64,0.000%,20.77253,564.39,66.67
View cart (Black tea),1338,13,10,28,30,34,4,40,0.000%,20.77446,538.35,32.19
Checkout,1296,12,11,22,23,25,3,35,0.000%,20.23388,278.84,67.95
Order,1296,4,4,8,9,10,1,15,0.000%,20.23767,254.66,30.93
Add order details,1287,23,21,37,39,44,10,54,0.000%,20.25528,207.02,59.55
Logout,1273,6,6,11,12,13,2,22,0.000%,20.13412,212.80,46.37
TOTAL,18668,13,11,30,33,38,1,73,0.005%,283.86351,5541.96,594.14
