Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login,1373,3,1,20,2.12,0.000%,20.89739,207.57,9.92,10171.0
Login Action,1362,16,5,39,9.17,0.000%,20.76378,211.81,38.36,10445.9
Add to cart (Green tea),1359,17,5,73,9.98,0.000%,20.82408,523.75,52.34,25755.0
View cart (Green tea),1359,12,3,38,7.56,0.074%,20.83110,504.58,25.10,24803.7
Add to cart (Herbal tea),1353,17,5,64,9.94,0.000%,20.77862,536.75,57.19,26452.0
View cart (Herbal tea),1352,12,4,36,7.94,0.000%,20.77762,515.30,27.46,25395.8
Add to cart (White tea),1341,19,5,49,10.48,0.000%,20.69125,548.40,61.71,27140.0
View cart (White tea),1341,13,4,40,8.22,0.000%,20.69253,524.73,29.72,25966.9
Add to cart (Black tea),1338,19,5,64,11.01,0.000%,20.77253,564.39,66.67,27822.0
View cart (Black tea),1338,13,4,40,8.51,0.000%,20.77446,538.35,32.19,26535.8
Checkout,1296,12,3,35,6.79,0.000%,20.23388,278.84,67.95,14111.4
Order,1296,4,1,15,2.59,0.000%,20.23767,254.66,30.93,12885.3
Add order details,1287,23,10,54,9.50,0.000%,20.25528,207.02,59.55,10466.0
Logout,1273,6,2,22,3.51,0.000%,20.13412,212.80,46.37,10823.0
TOTAL,18668,13,1,73,9.93,0.005%,283.86351,5541.96,594.14,19991.9
