Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,20280,15,2,46,3.773,0.240%,65.443,606.39,9.714,9175.86
List Products,20173,35,3,77,7.213,0.036%,67.32,7895.425,10.756,118159.974
Look at Product,20515,67,1,123,13.048,0.399%,66.942,7119.166,10.144,106343.467
Login,20996,30,8,75,5.626,0.450%,66.89,635.676,26.431,10045.341
Add Product to Cart,20888,30,5,68,6.142,0.182%,64.042,717.771,27.982,10707.904
Add n Products to Cart,315288,31,2,84,6.028,0.076%,996.883,10652.71,397.361,10707.204
Checkout 1,21029,22,3,54,4.848,0.085%,64.828,705.873,40.933,10489.683
Checkout 5,20579,23,3,54,4.989,0.223%,67.73,676.592,48.532,10489.383
Checkout 15,20806,23,2,57,4.989,0.507%,64.418,709.314,64.202,10488.983
TOTAL,482973,32,1,122,10.762,0.294%,1572.902,28718.182,625.218,19422.12
