Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,22028,15,2,44,4.057,0.000%,74.012,652.392,11.44,9861.173
List Products,22028,36,3,77,7.099,0.024%,74.012,8397.649,13.52,126985.459
Look at Product,22023,66,1,119,13.184,0.033%,74.012,7556.968,12.481,114286.279
Login,22016,32,8,72,5.071,0.009%,74.012,713.459,32.241,10795.201
Add Product to Cart,22014,32,5,66,6.085,0.000%,74.012,760.277,31.201,11507.344
Add n Products to Cart,330035,33,2,81,6.085,0.009%,1114.24,11403.135,471.136,11507.344
Checkout 1,21983,21,3,50,5.071,0.005%,74.012,743.993,46.802,11272.78
Checkout 5,21982,21,3,53,5.071,0.009%,74.012,743.993,56.162,11272.78
Checkout 15,21980,21,2,53,5.071,0.014%,74.012,743.993,76.963,11272.78
TOTAL,506087,32,1,119,10.143,0.010%,1707.351,31712.806,751.947,20872.976
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
, ,,,,,,,,,
