Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login,415,3,2,18,1.02,0.000%,1.013,13.086,1.001,10122.229
Login Action,414,11,9,23,2.039,0.000%,1.013,13.086,2.002,10461.389
Homepage [0],414,3,2,7,1.02,0.000%,1.013,12.079,1.001,9599.606
Browse (Green tea),413,9,7,16,1.02,0.000%,1.013,133.874,1.001,104736.862
Add to cart (Green tea),413,17,13,29,2.039,0.000%,1.013,39.256,3.003,30719.732
View cart (Green tea),413,12,10,20,1.02,0.000%,1.013,38.25,2.002,29729.029
Browse (Herbal tea),412,9,8,20,1.02,0.000%,1.013,193.262,2.002,150590.849
Add to cart (Herbal tea),412,18,14,32,2.039,0.000%,1.013,40.263,4.004,31403.01
View cart (Herbal tea),412,13,11,21,1.02,0.000%,1.013,39.256,2.002,30294.294
Browse (White tea),412,9,6,22,2.039,0.000%,1.013,143.939,2.002,112108.129
Add to cart (White tea),412,18,14,29,2.039,0.000%,1.013,41.27,4.004,32084.304
View cart (White tea),412,13,11,20,1.02,0.000%,1.013,39.256,2.002,30860.552
"Browse (Black tea, 1) [0]",412,9,7,15,1.02,0.000%,1.013,124.815,2.002,97602.608
"Browse (Black tea, 2)",411,9,7,22,1.02,0.000%,1.013,130.855,2.002,101956.149
"Browse (Black tea, 3)",410,9,7,16,1.02,0.000%,1.013,132.867,2.002,103562.695
"Browse (Black tea, 1) [1]",410,9,7,15,1.02,0.000%,1.013,124.815,2.002,97600.626
Add to cart (Black tea),410,19,14,30,2.039,0.000%,1.013,42.276,4.004,32759.648
View cart (Black tea),410,15,12,29,2.039,0.000%,1.013,40.263,2.002,31420.86
Checkout,406,9,7,21,1.02,0.000%,1.013,18.119,4.004,14088.018
Order,406,3,1,9,1.02,0.262%,1.013,16.105,2.002,12785.922
Add order details,404,27,22,43,3.059,0.000%,1.013,13.086,4.004,10480.232
Homepage [1],404,3,2,14,1.02,0.000%,1.013,12.079,1.001,9613.49
Logout,404,6,4,11,1.02,0.000%,1.013,14.093,3.003,10832.283
Homepage [2],404,3,2,13,1.02,0.000%,1.013,12.079,1.001,9388.375
TOTAL,9832,11,1,43,6.118,0.011%,31.403,1409.201,55.053,46548.174
