Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,22028,15,2,44,4.011,0.000%,71.911,631.565,10.9,9445.61
List Products,22028,36,3,76,7.019,0.024%,71.911,8129.556,12.882,121634.118
Look at Product,22023,66,1,118,13.035,0.033%,71.911,7315.714,11.892,109470.099
Login,22016,32,8,71,5.014,0.009%,71.911,690.682,30.719,10340.276
Add Product to Cart,22014,32,5,65,6.016,0.000%,71.911,736.005,29.728,11022.409
Add n Products to Cart,330035,33,2,80,6.016,0.009%,1082.614,11039.093,448.898,11022.409
Checkout 1,21983,21,3,50,5.014,0.005%,71.911,720.241,44.593,10797.73
Checkout 5,21982,21,3,53,5.014,0.009%,71.911,720.241,53.511,10797.73
Checkout 15,21980,21,2,53,5.014,0.014%,71.911,720.241,73.33,10797.73
TOTAL,506087,32,1,118,10.028,0.010%,1658.891,30700.383,716.454,19993.36
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
, ,,,,,,,,,
