Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,21259,15,2,43,3.67,0.000%,70.36771,630.49,10.38,9175.0
List Products,21259,34,3,73,6.63,0.024%,70.36887,8119.15,12.16,118148.9
Look at Product,21254,63,1,115,12.53,0.033%,70.35465,7305.72,11.32,106333.5
Login,21247,30,8,68,5.38,0.009%,70.33591,689.92,29.59,10044.4
Add Product to Cart,21245,30,5,63,5.90,0.000%,70.33161,735.38,29.17,10706.9
Add n Products to Cart,318511,31,2,77,5.90,0.009%,1054.44174,11024.49,437.38,10706.2
Checkout 1,21215,21,3,49,4.64,0.005%,70.25556,719.62,43.84,10488.7
Checkout 5,21214,21,3,52,4.69,0.009%,70.25434,719.58,52.14,10488.4
Checkout 15,21212,21,2,52,4.69,0.014%,70.24795,719.49,71.34,10488.0
TOTAL,488416,30,1,115,10.33,0.010%,1616.63450,30659.77,697.14,19420.3
