Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,20719,64,2,150,17.565,0.033%,68.726,617.79,10.098,9025.502
List Products,20712,124,5,332,31.887,0.038%,68.705,7947.792,11.834,116147.167
Look at Product,20703,223,13,460,78.974,0.129%,68.678,7146.558,11,104479.121
Login,20677,101,8,211,24.79,0.033%,68.594,690.38,28.971,10105.465
Add Product to Cart,20670,125,4,243,29.403,0.043%,68.573,719.366,28.344,10532.884
Add n Products to Cart,308984,125,1,305,29.019,0.039%,1025.086,10754.04,423.792,10533.278
Checkout 1,20542,95,4,189,24.317,0.024%,68.179,700.753,42.403,10319.765
Checkout 5,20537,95,4,223,24.13,0.034%,68.164,700.555,50.422,10319.175
Checkout 15,20530,95,5,174,24.169,0.038%,68.142,700.309,68.982,10318.781
TOTAL,474074,122,1,460,41.665,0.041%,1572.506,29973.318,675.669,19137.854
